clause_text,clause_type
Delegation of Duties. The Administrative Agent may execute any of its duties under this Agreement and the other Loan Documents by or through agents or attorneys-in-fact and shall be entitled to advice of counsel concerning all matters pertaining to such duties. The Administrative Agent shall not be responsible for the negligence or misconduct of any agents or attorneys in-fact selected by it with reasonable care.,delegation-of-duties
"Delegation of Duties. The Administrative Agent may perform any and all of its duties and exercise its rights and powers hereunder or under any other Loan Document by or through any one or more sub-agents appointed by the Administrative Agent. The Administrative Agent and any such sub-agent may perform any and all of its duties and exercise its rights and powers by or through their respective Related Parties. The exculpatory provisions of this Article shall apply to any such sub-agent and to the Related Parties of the Administrative Agent and any such sub-agent, and shall apply to their respective activities in connection with the syndication of the credit facilities provided for herein as well as activities as Administrative Agent.",delegation-of-duties
"Delegation of Duties. The Administrative Agent may perform any and all of its duties and exercise its rights and powers hereunder or under any other Loan Document by or through any one or more sub-agents appointed by the Administrative Agent. The Administrative Agent and any such sub-agent may perform any and all of its duties and exercise its rights and powers by or through their respective Related Parties. The exculpatory provisions of this Article shall apply to any such sub-agent and to the Related Parties of the Administrative Agent and any such sub-agent, and shall apply to their respective activities in connection with the syndication of the credit facilities provided for herein as well as activities as Administrative Agent. The Administrative Agent shall not be responsible for the negligence or misconduct of any sub-agents except to the extent that a court of competent jurisdiction determines in a final and non-appealable judgment that the Administrative Agent acted with gross negligence or willful misconduct in the selection of such sub-agents.",delegation-of-duties
"Delegation of Duties. The Administrative Agent may execute any of its duties under this Agreement or any other Loan Document by or through agents, employees or attorneys-in-fact and shall be entitled to advice of counsel and other consultants or experts concerning all matters pertaining to such duties. The Administrative Agent shall not be responsible for the negligence or misconduct of any agent or attorney-in-fact that it selects in the absence of gross negligence or willful misconduct.",delegation-of-duties
"Delegation of Duties. The Agent may execute any of its duties under this Agreement or any other Loan Document by or through agents, employees or attorneys-in-fact and shall be entitled to advice of counsel concerning all matters pertaining to such duties. The Agent shall not be responsible for the negligence or misconduct of any agent or attorney-in-fact that it selects with reasonable care.",delegation-of-duties
"Delegation of Duties. In the ordinary course of business, the Master Servicer at any time may delegate any of its duties hereunder to any Person, including any of its Affiliates, who agrees to conduct such duties in accordance with standards comparable to those with which the Master Servicer complies pursuant to Section 3.01. Such delegation shall not relieve the Master Servicer of its liabilities and responsibilities with respect to such duties and shall not constitute a resignation within the meaning of Section 5.04.",delegation-of-duties
Delegation of Duties. Each Agent may execute any of its duties under this Agreement by or through agents or attorneys-in-fact and shall be entitled to advice of counsel concerning all matters pertaining to such duties. Each Agent shall not be responsible for the negligence or misconduct of any agents or attorneys-in-fact selected by it with reasonable care.,delegation-of-duties
"Delegation of Duties. The Administrative Agent may execute any of its duties under this Agreement or any other Loan Document by or through agents, sub-agents or attorneys-in-fact, and shall be entitled to advice of counsel concerning all matters pertaining to such duties. The Administrative Agent shall not be responsible for the negligence or misconduct of any agents, sub-agents or attorneys-in-fact selected by it with reasonable care except to the extent otherwise required by Section 9.03. All of the rights, benefits and privileges (including the exculpatory and indemnification provisions) of Section 9.03 shall apply to any such sub-agent and to the Affiliates of any such sub-agent, and shall apply to their respective activities as sub-agent as if such sub-agent and Affiliates were named herein. Notwithstanding anything herein to the contrary, with respect to each sub-agent appointed by the Administrative Agent, (i) such sub-agent shall be a third party beneficiary under this Agreement with respect to all such rights, benefits and privileges (including exculpatory and rights to indemnification) and shall have all of the rights, benefits and privileges of a third party beneficiary, including an independent right of action to enforce such rights, benefits and privileges (including exculpatory rights and rights to indemnification) directly, without the consent or joinder of any other Person, against any or all of the Credit Parties and the Lenders, (ii) such rights, benefits and privileges (including exculpatory rights and rights to indemnification) shall not be modified or amended without the consent of such sub-agent, and (iii) such sub-agent shall only have obligations to the Administrative Agent and not to any Credit Party, any Lender or any other Person and no Credit Party, Lender or any other Person shall have the rights, directly or indirectly, as a third party beneficiary or otherwise, against such sub-agent.",delegation-of-duties
"Delegation of Duties. Agent may perform any and all of its duties and exercise its rights and powers hereunder or under any other Loan Document by or through any one or more sub agents appointed by Agent. Agent and any such sub agent may perform any and all of its duties and exercise its rights and powers by or through their respective Related Parties. The exculpatory provisions of this Article shall apply to any such sub agent and to the Related Parties of Agent and any such sub agent, and shall apply to their respective activities in connection with the syndication of the credit facilities provided for herein as well as activities as Agent.",delegation-of-duties
"Delegation of Duties. Pursuant to paragraph 1(c) of the Sub-Advisory Agreement, the Sub-Advisor hereby delegates to the Japan Sub-Advisor, and the Japan Sub-Advisor hereby accepts, responsibility for performing such non-discretionary investment advisory and research services relating to the Japanese economy and the securities of Japanese issuers (and such other Asian economies and issuers as the Sub-Advisor may request from time to time) as may be requested of the Sub-Advisor by the Advisor pursuant to the Sub-Advisory Agreement. The Japan Sub-Advisor shall pay the salaries and fees of all personnel of the Japan Sub-Advisor performing such services on behalf of the Portfolio.",delegation-of-duties
