clause_text,clause_type
Descriptive Headings. Descriptive headings of the several Sections of this Agreement are inserted for convenience only and shall not control or affect the meaning or construction of any of the provisions hereof.,descriptive-headings
Descriptive Headings. The descriptive headings herein are inserted for convenience of reference only and are not intended to be part of or to affect the meaning or interpretation of this Agreement.,descriptive-headings
Descriptive Headings. The descriptive headings of this Agreement are inserted for convenience only and do not constitute a part of this Agreement.,descriptive-headings
Descriptive Headings. The descriptive headings of the several sections and paragraphs of this Agreement are inserted for reference only and shall not limit or otherwise affect the meaning hereof.,descriptive-headings
Descriptive Headings. The headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement.,descriptive-headings
Descriptive Headings. The descriptive headings contained herein are for convenience of reference only and shall not affect in any way the meaning or interpretation of this Agreement.,descriptive-headings
"Descriptive Headings. The descriptive headings of the several paragraphs of this Warrant are in-serted for purposes of reference only, and shall not affect the meaning or construction of any of the provisions hereof.",descriptive-headings
Descriptive Headings. Descriptive headings are for convenience only and shall not control or affect the meaning or construction of any provision of this Agreement.,descriptive-headings
Descriptive Headings. The descriptive headings of the several paragraphs of this Warrant are inserted for convenience only and do not constitute a part of this Warrant. The language in this Warrant shall be construed as to its fair meaning without regard to which party drafted this Warrant.,descriptive-headings
"Descriptive Headings. The descriptive headings of this Agreement are for convenience only, and shall be of no force or effect in construing or interpreting any of the provisions of this Agreement.",descriptive-headings
Descriptive Headings. Descriptive headings appear herein for convenience only and shall not control or affect the meaning or construction of any of the provisions hereof.,descriptive-headings
Descriptive Headings. The descriptive headings of the several paragraphs of this Warrant are inserted for convenience only and do not constitute a part of this Warrant.,descriptive-headings
Descriptive Headings. The descriptive headings of this Agreement are inserted for convenience of reference only and do not constitute a part of and shall not be utilized in interpreting this Agreement.,descriptive-headings
Descriptive Headings. The descriptive headings used herein are for convenience of reference only and they are not intended to have any effect whatsoever in determining the rights or obligations of the Landlord or Tenant.,descriptive-headings
Descriptive Headings. The headings in this Agreement are for convenience of reference only and shall not limit or otherwise affect the meaning of terms contained herein.,descriptive-headings
Descriptive Headings. The descriptive headings of this Agreement are inserted for convenience only and do not constitute a part of this Agreement. * * * * *,descriptive-headings
Descriptive Headings. The descriptive headings of this Joinder are inserted for convenience only and do not constitute a part of this Joinder.,descriptive-headings
"Descriptive Headings. The captions herein are included for convenience of reference only, do not constitute a part of this Agreement and shall be ignored in the construction and interpretation hereof.",descriptive-headings
Descriptive Headings. The descriptive headings in this Agreement are for convenience of reference only and shall not define or limit the provisions hereof.,descriptive-headings
"Descriptive Headings. The descriptive headings herein are inserted for convenience of reference only, do not constitute a part of this Agreement, and shall not affect in any manner the meaning or interpretation of this Agreement.",descriptive-headings
"Descriptive Headings. The descriptive headings of this Agreement are for convenience of reference only, are not to be considered a part hereof and shall not be construed to define or limit any of the terms or provisions hereof.",descriptive-headings
"Descriptive Headings. The headings contained in this Agreement, in any Exhibit or Schedule hereto and in the table of contents to this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement. Any capitalized term used in any Exhibit or Schedule but not otherwise defined therein, shall have the meaning assigned to such term in this Agreement. When a reference is made in this Agreement to an Article or a Section, Exhibit or Schedule, such reference shall be to an Article or Section of, or an Exhibit or Schedule to, this Agreement unless otherwise indicated.",descriptive-headings
"Descriptive Headings. The descriptive headings herein are inserted for convenience of reference only and shall in no way be construed to define, limit, describe, explain, modify, amplify, or add to the interpretation, construction or meaning of any provision of, or scope or intent of, this Agreement nor in any way affect this Agreement.",descriptive-headings
Descriptive Headings. The descriptive headings of the several sections and paragraphs of this Agreement are inserted for convenience only and do not constitute a part of this Agreement.,descriptive-headings
"Descriptive Headings. Headings of Sections and subsections of this Agreement are for convenience of the parties only, and shall be given no substantive or interpretive effect whatsoever.",descriptive-headings
Descriptive Headings. The Article and Section headings in this Agreement are for convenience only and shall not affect the meanings or construction of any provision of this Agreement.,descriptive-headings
Descriptive Headings. The descriptive headings of this Agreement are inserted for convenience only and do not constitute a part of this Agreement. All references to a “Section” in this Agreement are to a section of this Agreement unless otherwise noted.,descriptive-headings
Descriptive Headings. The descriptive headings herein have been inserted for convenience only and shall not be deemed to limit or otherwise affect the construction of any provisions hereof.,descriptive-headings
Descriptive Headings. The descriptive headings of this Amendment are inserted for convenience only and do not constitute a part of this Amendment.,descriptive-headings
Descriptive Headings. The descriptive headings of the several paragraphs of this Amendment are inserted for convenience only and shall not be used in the construction of the content of this Amendment.,descriptive-headings
Descriptive Headings. The section headings in this Agreement have been inserted for convenience only and shall be given no substantive meaning or significance whatsoever in construing the terms and provisions of this Agreement.,descriptive-headings
Descriptive Headings. Descriptive headings of the several Sections of this Agreement are inserted for convenience only and shall not control or affect the meaning or construction of any of the provisions hereof. * * * * *,descriptive-headings
Descriptive Headings. The descriptive headings in this Agreement are for convenience of reference only and shall not be deemed to alter or affect the meaning or interpretation of any provision of this Agreement.,descriptive-headings
"Descriptive Headings. The headings of the articles, sections and subsections of this Agreement are inserted for convenience of reference only and shall not be deemed to constitute a part hereof or affect the interpretation hereof.",descriptive-headings
"Descriptive Headings. The descriptive headings appearing in these Conditions are for convenience of reference only and shall not alter, limit or define the provisions hereof.",descriptive-headings
Descriptive Headings. The descriptive headings which are used in this Agreement are for the convenience of the parties only and shall not affect the meaning of any provision of this Agreement.,descriptive-headings
"Descriptive Headings. The headings in this Agreement are for convenience only and shall in no way enlarge, limit or define the scope or meaning of the various and several provisions hereof.",descriptive-headings
"Descriptive Headings. Descriptive headings are for convenience only and shall not control or affect the meaning or construction of any provisions of this Agreement. When the context admits or requires, words used in the masculine gender shall be construed to include the feminine, the plural shall include the singular, and the singular shall include the plural.",descriptive-headings
Descriptive Headings. Titles to Sections are solely for information purposes.,descriptive-headings
Descriptive Headings. The headings of the sections and paragraphs of this Agreement have been inserted for convenience of reference only and shall not be deemed to be part of this Agreement.,descriptive-headings
"Descriptive Headings. The descriptive headings of this Agreement are inserted for convenience only and do not constitute a substantive part of this Agreement. Whenever required by the context, any pronoun used in this Agreement shall include the corresponding masculine, feminine, or neuter forms, and the singular form of nouns, pronouns, and verbs shall include the plural and vice versa. The use of the word ""including"" in this Agreement shall be, in each case, by way of example and without limitation. The use of the words ""or,"" ""either,"" and ""any"" shall not be exclusive. Reference to any agreement, document, or instrument means such agreement, document, or instrument as amended or otherwise modified from time to time in accordance with the terms thereof, and if applicable hereof.",descriptive-headings
Descriptive Headings. The captions in this Amendment are for convenience only and shall not define or limit the provisions hereof.,descriptive-headings
"Descriptive Headings. The descriptive headings of this Agreement are inserted for convenience only and do not constitute a part of this Agreement. Unless clearly denoted otherwise, any reference to Articles or Sections contained herein shall be to the Articles or Sections of this Agreement.",descriptive-headings
Descriptive Headings. The descriptive headings contained in this Warrant are inserted for convenience only and do not constitute a part of this Warrant.,descriptive-headings
Descriptive Headings. Descriptive headings of the Sections of this Agreement are inserted for convenience only and shall not affect the meaning of this Agreement.,descriptive-headings
"Descriptive Headings. The headings, captions and arrangements used in this Agreement are for convenience only and shall not be deemed to limit, amplify or modify the terms of this Agreement, nor affect the meanings hereof.",descriptive-headings
Descriptive Headings. The headings of this Warrant are for convenience of reference only and shall not limit or otherwise affect the meaning hereof.,descriptive-headings
Descriptive Headings. The descriptive headings of this Warrant Agreement are for convenience only and shall not control or affect the meaning or construction of any provision of this Warrant Agreement.,descriptive-headings
"Descriptive Headings. The descriptive headings of the several sections and paragraphs of this Agreement are inserted for reference only and shall not limit or otherwise affect the meaning hereof. References herein to Sections are references to Sections of this Agreement, except as otherwise indicated.",descriptive-headings
"Descriptive Headings. The headings contained in this Agreement are for reference purposes only and shall not affect in any way the meaning or interpretation of this Agreement. When a reference is made in this Agreement to an Article or a Section, such reference shall be to an Article or Section of this Agreement unless otherwise indicated.",descriptive-headings
Descriptive Headings. The section headings are for convenience only and shall not affect the construction or interpretation of this Agreement.,descriptive-headings
"Descriptive Headings. The descriptive section headings contained in this Agreement are inserted for convenience or reference only and shall not control or affect in any way the meaning, interpretation, or construction of any of the provisions of this Agreement.",descriptive-headings
Descriptive Headings. Descriptive headings of the several Sections of this Agreement are inserted for convenience only and shall not control or affect the meaning or construction of any of the provisions hereof. [THIS SPACE LEFT INTENTIONALLY BLANK],descriptive-headings
Descriptive Headings. The descriptive headings of the provisions of this Agreement are formulated and used for convenience only and shall not be deemed to affect the meaning or construction of any provision.,descriptive-headings
