clause_text,clause_type
"Disability. If the Executive's employment is terminated by reason of the Executive's Disability during the Employment Period, this Agreement shall terminate without further obligations to the Executive, other than for payment of Accrued Obligations and the timely payment or provision of Other Benefits. Accrued Obligations shall be paid to the Executive in a lump sum in cash within 30 days of the Date of Termination. With respect to the provision of Other Benefits, the term Other Benefits as utilized in this Section 6(c) shall include, and the Executive shall be entitled after the Disability Effective Date to receive, disability and other benefits at least equal to the most favorable of those generally provided by the Company and its affiliated companies to disabled executives and/or their families in accordance with such plans, programs, practices and policies relating to disability, if any, as in effect generally with respect to other peer executives and their families at any time during the 120-day period immediately preceding the Effective Date or, if more favorable to the Executive and/or the Executive's family, as in effect at any time thereafter generally with respect to other peer executives of the Company and its affiliated companies and their families.",disability
"Disability. The Company may terminate the Executive’s employment if he is disabled and unable to perform the essential functions of the Executive’s then existing position or positions under this Agreement with or without reasonable accommodation for a period of 180 days (which need not be consecutive) in any 12-month period. If any question shall arise as to whether during any period the Executive is disabled so as to be unable to perform the essential functions of the Executive’s then existing position or positions with or without reasonable accommodation, the Executive may, and at the request of the Company shall, submit to the Company a certification in reasonable detail by a physician selected by the Company to whom the Executive or the Executive’s guardian has no reasonable objection as to whether the Executive is so disabled or how long such disability is expected to continue, and such certification shall for the purposes of this Agreement be conclusive of the issue. The Executive shall cooperate with any reasonable request of the physician in connection with such certification. If such question shall arise and the Executive shall fail to submit such certification, the Company’s determination of such issue shall be binding on the Executive. Nothing in this Section 3(b) shall be construed to waive the Executive’s rights, if any, under existing law including, without limitation, the Family and Medical Leave Act of 1993, 29 U.S.C. §2601 et seq. and the Americans with Disabilities Act, 42 U.S.C. §12101 et seq.",disability
"Disability. The Executive’s employment pursuant to this Agreement may be terminated by delivery of written notice to the Executive by the Company (a “Notice of Termination”) in the event that the Executive is unable, as determined by the independent members of the Board of Directors (or any committee of the Board comprised solely of independent directors), to perform the essential functions of his regular duties and responsibilities, with or without reasonable accommodation, due to a medically determinable physical or mental illness that has lasted (or can reasonably be expected to last) for a period of ninety (90) consecutive days, or for a total of ninety (90) days or more in any consecutive one hundred and eighty (180) day-period. If the Executive’s employment is terminated pursuant to this Section 9(c), the Executive will be entitled to receive (i) all Base Salary and benefits to be paid or provided to the Executive under this Agreement through the Date of Termination, (ii) any other unpaid benefits (including disability benefits) to which he is otherwise entitled under any plan, policy or program of the Company applicable to the Executive as of the Date of Termination (such benefits shall be paid in accordance with the provisions of the applicable arrangements), (iii) the amount of any cash bonus related to any year ending before the Date of Termination that has been earned but remains unpaid, and (iv) health insurance benefits substantially commensurate with the Company’s standard health insurance benefits for the Executive and the Executive’s spouse and dependents through the second anniversary of the Date of Termination; provided, however, that such continued benefits shall terminate on the date or dates Executive receives substantially similar coverage and benefits, without waiting period or pre-existing condition limitations, under the plans and programs of a subsequent employer (such coverage and benefits to be determined on a coverage-by-coverage or benefit-by-benefit basis); provided further, that any continued health insurance benefits which are provided under this Agreement (including benefits under Section 9(m)) shall run concurrently with any continuation coverage that the Executive or the Executive’s spouse and dependents are entitled to under COBRA and any rights (including the length of coverage) that the Executive and the Executive’s spouse and dependents may be entitled to under COBRA shall not be increased (or extended) due to any continued heal...",disability
"Disability. Disability"" shall mean that the Employee has been unable to perform his Company duties as the result of his incapacity due to physical or mental illness, and such inability, at least 26 weeks after its commencement, is determined to be total and permanent by a physician selected by the Company or its insurers and acceptable to the Employee or the Employee's legal representative (such Agreement as to acceptability not to be unreasonably withheld). Termination resulting from Disability may only be effected after at least 30 days' written notice by the Company of its intention to terminate the Employee's employment. In the event that the Employee resumes the performance of substantially all of his duties hereunder before the termination of his employment becomes effective, the notice of intent to terminate shall automatically be deemed to have been revoked.",disability
"Disability. If the Company determines in good faith that the Disability of the Executive has occurred during the Term, subject to applicable laws, it may give written notice to the Executive of its intention to terminate his employment. In such event, the Executive’s employment with the Company shall terminate effective on the 30th day after receipt of such notice by the Executive, provided that, within the thirty (30) days after such receipt, the Executive shall not have returned to full-time performance of his duties. During any period that the Executive fails to perform his duties hereunder as a result of the Disability, the Executive shall continue to receive his full Base Salary and incentive compensation until the Executive’s employment is terminated pursuant to this Section 6.3(b). Upon any such termination neither party shall have any rights or obligations under Article 1, Article 2, Section 3.1, Section 3.2, or Article 4; provided, however, that the Company shall pay the Executive any amount due and owing as of the Termination Date pursuant to Section 3.1 and Section 3.2 (excluding a Bonus for the year in which the termination occurs) and Article 4 and, after termination an amount equal to 12 months of the Executive’s Base Salary (determined as the Executive’s last annual Base Salary during the Term prior to such termination). Such 12 months of Base Salary shall be paid in a single lump sum 75 days after Executive terminates employment, provided, however, that this payment is contingent on the Executive having executed a release in favor of the Company within 60 days following Executive’s termination of employment and not thereafter revoking such release. For purposes of this Agreement, “Disability” shall mean the inability of the Executive to perform his duties to the Company on account of physical or mental illness or incapacity for a period of 120 consecutive calendar days, or for a period of 180 calendar days, whether or not consecutive, during any 365 day period. Any equity awards held by the Executive shall be governed by the terms and conditions of the relevant plan and grant documents.",disability
"Disability. If the Company determines in good faith that Disability of the Executive has occurred during the Employment Period (pursuant to the definition of Disability set forth below), it may give to the Executive written notice in accordance with Section 11(b) of this Agreement of its intention to terminate the Executive’s employment. In such event, the Executive’s employment with the Company shall terminate effective on the 30th day after receipt of such notice by the Executive (the “Disability Effective Date”), provided that, within the 30 days after such receipt, the Executive shall not have returned to full-time performance of the Executive’s duties. For purposes of this Agreement, “Disability” shall mean the absence of the Executive from the Executive’s duties with the Company on a full-time basis for 180 consecutive days as a result of incapacity due to mental or physical illness which is determined to be total and permanent by a physician selected by the Company or its insurers and reasonably acceptable to the Executive or the Executive’s legal representative.",disability
"Disability. If, as a result of incapacity due to physical or mental illness or injury, Executive shall have been absent from his full-time duties hereunder for four (4) consecutive months, then thirty (30) days after receiving written notice (which notice may occur before or after the end of such four (4) month period, but which shall not be effective earlier than the last day of such four (4) month period), the Company may terminate Executive's employment hereunder provided Executive is unable to resume his full-time duties with or without reasonable accommodation at the conclusion of such notice period. Also, Executive may terminate his employment hereunder if his health should become impaired to an extent that makes the continued performance of his duties hereunder hazardous to his physical or mental health or his life, provided that Executive shall have furnished the Company with a written statement from a qualified doctor to such effect and provided, further, that, at the Company's request made within thirty (30) days of the date of such written statement, Executive shall submit to an examination by a doctor selected by the Company who is reasonably acceptable to Executive or Executive's doctor and such doctor shall have concurred in the conclusion of Executive's doctor. In the event this Agreement is terminated as a result of Executive's disability, Executive shall receive from the Company, in a lump-sum payment due within ten (10) days of the effective date of termination, the base salary at the rate then in effect for whatever time period is remaining under the Initial Term of this Agreement or for one (1) year, whichever amount is greater; provided, however, that any such payments shall be reduced by the amount of any disability insurance payments payable to the Executive as a result of such disability.",disability
"Disability. “Disability” shall mean the Executive (i) is unable to engage in any substantial gainful activity by reason of any medically determinable physical or mental impairment which can be expected to result in death or can be expected to last for a continuous period of not less than 12 months, or (ii) is, by reason of any medically determinable physical or mental impairment which can be expected to result in death or can be expected to last for a continuous period of not less than 12 months, receiving income replacement benefits for a period of not less than three months under an accident and health plan covering employees of the Employers.",disability
"Disability. If the Company determines in good faith that the Executive has incurred a Disability, the Company may give the Executive written notice of its intention to terminate the Executive’s employment. In such event, the Executive’s employment with the Company shall terminate effective on the 30th day after receipt of such notice by the Executive, provided that within such 30 day period the Executive shall not have returned to full-time performance of his duties. The Executive shall continue to receive his Annual Base Salary until the 90th day following the date of the Notice of Termination.",disability
"Disability. In the event that the Executive shall be unable to perform the Executive’s duties hereunder on a full time basis for a period of one hundred-eighty (180) consecutive calendar days by reason of incapacity due to illness, accident or other physical or mental disability, then the Company may, at its discretion, terminate the Executive’s employment hereunder if the Executive, within ten (10) days after receipt of written notice of termination (which notice may be given before or after the end of the entire 180 day period), shall not have returned to the performance of all of his duties hereunder on a full-time basis.",disability
"Disability. Termination by the Employers of the Executive's employment based on ""Disability"" shall mean termination because of any physical or mental impairment which qualifies the Executive for disability benefits under the applicable long-term disability plan maintained by the Employers or any subsidiary or, if no such plan applies, which would qualify the Executive for disability benefits under the Federal Social Security System.",disability
"Disability. If the Executive’s employment is terminated by reason of the Executive’s Disability during the Employment Period, this Agreement shall terminate without further obligations to the Executive, other than for payment of Accrued Obligations and the timely payment or provision of Other Benefits. Accrued Obligations shall be paid to the Executive in a lump sum in cash within 30 days of the Date of Termination, provided, that in the event that the Executive is a Specified Employee, the Pro Rata Bonus shall be paid with Interest on the 409A Payment Date. With respect to the provision of the Other Benefits, the term “Other Benefits” as utilized in this Section 6(c) shall include, and the Executive shall be entitled after the Disability Effective Date to receive, disability and other benefits at least equal to the most favorable of those generally provided by the Company and the",disability
"Disability. If the Company and the Bank determine in good faith that the Executive is disabled, using the definition of Disability below, they may give to the Executive a written notice of Disability. The Executive’s employment shall automatically terminate effective on the 30th day after such notice to the Executive (the “Disability Effective Date”), unless, within thirty (30) days after such notice, the Executive has returned to effective full-time performance of his duties. The Executive shall continue to receive his Base Salary, and other forms of compensation as provided by this Agreement, until the Disability Effective Date, notwithstanding his inability to render services to the Company and the Bank; provided, however, that to the extent that the Executive receives compensation or benefits under any short-term or long-term disability insurance plan sponsored or provided by the Company or the Bank, or under any Bank or Company workers compensation policy, his Base Salary may be reduced by the amount of such compensation or benefits. For purposes of this Agreement, “Disability” shall mean the absence of the Executive from his duties with the Company on a full-time basis, after all vacation days have been exhausted, for ninety (90) consecutive days or for a cumulative period of 120 days during any twelve (12) consecutive calendar months as a result of incapacity due to mental or physical illness. If there is a disagreement as to whether or not the Executive is incapacitated from work, or whether or not he can effectively perform his job, there shall be a determination as to the Executive’s ability to perform the duties and responsibilities of his position by a physician selected by the Company and the Bank, and who is reasonably acceptable to the Executive or the Executive’s legal representative.",disability
"Disability. If, as a result of Executive’s incapacity due to physical or mental illness (“Disability”), Executive shall have been absent from the full-time performance of Executive’s duties with the Company for a period of four (4) consecutive months and, within thirty (30) days after written notice is provided to Executive by the Company (in accordance with Section 4A hereof), Executive shall not have returned to the full-time performance of Executive’s duties, Executive’s employment under this Agreement may be terminated by the Company for Disability. During any period prior to such termination during which Executive is absent from the full-time performance of Executive’s duties with the Company due to Disability, the Company shall continue to pay Executive’s Base Salary at the rate in effect at the commencement of such period of Disability, offset by any amounts payable to Executive under any disability insurance plan or policy provided by the Company. Upon termination of Executive’s employment due to Disability, the Company shall pay Executive within thirty (30) days of such termination (i) Executive’s Base Salary through the end of the month in which termination occurs in a lump sum in cash, offset by any amounts payable to Executive under any disability insurance plan or policy provided by the Company; and (ii) any other Accrued Obligations (as defined in paragraph 1(f) below).",disability
"Disability. If during the Term the Executive shall become physically or mentally disabled, whether totally or partially, such that the Executive is unable to perform the Executive's services hereunder for (i) a period of six consecutive months or (ii) for shorter periods aggregating six months during any twelve month period, the Company may at any time after the last day of the six consecutive months of disability or the day on which the shorter periods of disability shall have equalled an aggregate of six months, by written notice to the Executive (but before the Executive has recovered from such disability), terminate the Term and no further amounts or benefits shall be payable hereunder, except that the Executive shall be entitled to receive continued payments in an amount equal to 60% of the Base Salary, in the manner specified in Section 3.1, until the longer of 12 months or the end of the Term (as in effect immediately prior to such termination). Upon the Executive's termination for disability, the Options shall, subject to the receipt of any required shareholder approval under Section 3.7, continue to vest and become exercisable pursuant to their original vesting schedule, and shall remain exercisable for three years following vesting. If the Executive shall die before receiving all payments to be made by the Company in accordance with this Section 4.2, such payments shall be made to the beneficiary designated by the Executive on a form prescribed for such purpose by the Company, or in the absence of such designation to the Executive's legal representative.",disability
