clause_text,clause_type
"Disclosure. Except with respect to the material terms and conditions of the transactions contemplated by the Transaction Documents, the Company confirms that neither it nor any other Person acting on its behalf has provided any of the Purchasers or their agents or counsel with any information that it believes constitutes or might constitute material, non-public information which is not otherwise disclosed in the Prospectus Supplement. The Company understands and confirms that the Purchasers will rely on the foregoing representation in effecting transactions in securities of the Company. All of the disclosure furnished by or on behalf of the Company to the Purchasers regarding the Company and its Subsidiaries, their respective businesses and the transactions contemplated hereby, including the Disclosure Schedules to this Agreement, is true and correct and does not contain any untrue statement of a material fact or omit to state any material fact necessary in order to make the statements made therein, in the light of the circumstances under which they were made, not misleading. The press releases disseminated by the Company during the twelve months preceding the date of this Agreement taken as a whole do not contain any untrue statement of a material fact or omit to state a material fact required to be stated therein or necessary in order to make the statements therein, in the light of the circumstances under which they were made and when made, not misleading. The Company acknowledges and agrees that no Purchaser makes or has made any representations or warranties with respect to the transactions contemplated hereby other than those specifically set forth in Section 3.2 hereof.",disclosure
"Disclosure. All information relating to or concerning the Company or any of its Subsidiaries set forth in this Agreement and provided to the Buyer pursuant to Section 2(d) hereof and otherwise in connection with the transactions contemplated hereby is true and correct in all material respects and the Company has not omitted to state any material fact necessary in order to make the statements made herein or therein, in light of the circumstances under which they were made, not misleading. No event or circumstance has occurred or exists with respect to the Company or any of its Subsidiaries or its or their business, properties, prospects, operations or financial conditions, which, under applicable law, rule or regulation, requires public disclosure or announcement by the Company but which has not been so publicly announced or disclosed (assuming for this purpose that the Company’s reports filed under the 1934 Act are being incorporated into an effective registration statement filed by the Company under the 1933 Act).",disclosure
Disclosure. The representations and warranties contained in this Section 3 do not contain any untrue statement of a material fact or omit to state any material fact necessary in order to make the statements and information contained in this Section 3 not misleading.,disclosure
"Disclosure. The Borrower has disclosed to the Lenders all agreements, instruments and corporate or other restrictions to which it or any of its Subsidiaries is subject, and all other matters known to it, that, individually or in the aggregate, could reasonably be expected to result in a Material Adverse Effect. Neither the Information Memorandum nor any of the other reports, financial statements, certificates or other information furnished by or on behalf of the Borrower to the Administrative Agent or any Lender in connection with the negotiation of this Agreement or delivered hereunder (as modified or supplemented by other information so furnished) contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading; provided that, with respect to projected financial information, the Borrower represents only that such information was prepared in good faith based upon assumptions believed to be reasonable at the time.",disclosure
"Disclosure. Each Loan Party has disclosed to the Administrative Agent and the Lenders all agreements, instruments and corporate or other restrictions to which it or any of its Subsidiaries is subject, and all other matters known to it, that, individually or in the aggregate, could reasonably be expected to result in a Material Adverse Effect. No report, financial statement, certificate or other information furnished (whether in writing or orally) by or on behalf of any Loan Party to the Administrative Agent or any Lender in connection with the transactions contemplated hereby and the negotiation of this Agreement or delivered hereunder or under any other Loan Document (in each case, as modified or supplemented by other information so furnished) contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading; provided that, with respect to projected financial information, the Loan Parties represent only that such information was prepared in good faith based upon assumptions believed to be reasonable at the time.",disclosure
"Disclosure. Except with respect to the material terms and conditions of the transactions contemplated by the Transaction Documents, the Company confirms that neither it nor any other Person acting on its behalf has provided any of the Purchasers or their agents or counsel with any information that it believes constitutes or might constitute material, non-public information. The Company understands and confirms that the Purchasers will rely on the foregoing representation in effecting transactions in securities of the Company. All of the disclosure furnished by or on behalf of the Company to the Purchasers regarding the Company and its Subsidiaries, their respective businesses and the transactions contemplated hereby, including the Disclosure Schedules to this Agreement, is true and correct and does not contain any untrue statement of a material fact or omit to state any material fact necessary in order to make the statements made therein, in light of the circumstances under which they were made, not misleading. The Company acknowledges and agrees that no Purchaser makes or has made any representations or warranties with respect to the transactions contemplated hereby other than those specifically set forth in Section 3.2 hereof.",disclosure
"Disclosure. Each preliminary prospectus and the Prospectus when filed complied in all material respects with the Securities Act and, if filed by electronic transmission pursuant to EDGAR, was identical (except as may be permitted by Regulation S-T under the Securities Act) to the copy thereof delivered to the Underwriters for use in connection with the offer and sale of the Offered Shares. Each of the Registration Statement and any post-effective amendment thereto, at the time it became or becomes effective, complied and will comply in all material respects with the Securities Act and did not and will not contain any untrue statement of a material fact or omit to state a material fact required to be stated therein or necessary to make the statements therein not misleading. As of the Applicable Time, the Time of Sale Prospectus (including any preliminary prospectus wrapper) did not, and at the First Closing Date (as defined in Section 2) and at each applicable Option Closing Date (as defined in Section 2), will not, contain any untrue statement of a material fact or omit to state a material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading. The Prospectus (including any Prospectus wrapper), as of its date, did not, and at the First Closing Date and at each applicable Option Closing Date, will not, contain any untrue statement of a material fact or omit to state a material fact necessary in order to make the statements therein, in the light of the circumstances under which they were made, not misleading. The representations and warranties set forth in the three immediately preceding sentences do not apply to statements in or omissions from the Registration Statement or any post-effective amendment thereto, or the Prospectus or the Time of Sale Prospectus, or any amendments or supplements thereto, made in reliance upon and in conformity with written information relating to any Underwriter furnished to the Company in writing by the Representatives expressly for use therein, it being understood and agreed that the only such information consists of the information described in Section 9(b) below. There are no contracts or other documents required to be described in the Time of Sale Prospectus or the Prospectus or to be filed as an exhibit to the Registration Statement which have not been described or filed as required.",disclosure
"Disclosure. Effective from the date of commencement of discussions concerning the Transaction, Counterparty and each of its employees, representatives, or other agents may disclose to any and all persons, without limitation of any kind, the tax treatment and tax structure of the Transaction and all materials of any kind (including opinions or other tax analyses) that are provided to Counterparty relating to such tax treatment and tax structure.",disclosure
"Disclosure. No report, financial statement, certificate or other written information furnished by or on behalf of any Loan Party to any Agent or any Lender in connection with the transactions contemplated hereby and the negotiation of this Agreement or delivered hereunder or any other Loan Document (as modified or supplemented by other information so furnished) when taken as a whole contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not materially misleading; provided that, with respect to projected financial information and pro forma financial information, the Borrower represents only that such information was prepared in good faith based upon assumptions believed to be reasonable at the time of preparation; it being understood that such projections may vary from actual results and that such variances may be material.",disclosure
"Disclosure. The Borrower has disclosed to the Administrative Agent and the Lenders all agreements, instruments and corporate or other restrictions to which it or any of its Subsidiaries is subject, and all other matters known to it, that, individually or in the aggregate, could reasonably be expected to result in a Material Adverse Effect. No report, financial statement, certificate or other information furnished (whether in writing or orally) by or on behalf of any Loan Party to the Administrative Agent or any Lender in connection with the transactions contemplated hereby and the negotiation of this Agreement or delivered hereunder (as modified or supplemented by other information so furnished) contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading; provided that, with respect to projected financial information, the Borrower represents only that such information was prepared in good faith based upon assumptions believed to be reasonable at the time.",disclosure
"Disclosure. To the best of the Company's knowledge, neither this Agreement or the Schedules hereto nor any other documents, certificates or instruments furnished to the Purchasers by or on behalf of the Company or any Subsidiary in connection with the transactions contemplated by this Agreement contain any untrue statement of a material fact or omit to state a material fact necessary in order to make the statements made herein or therein, in the light of the circumstances under which they were made herein or therein, not misleading.",disclosure
"Disclosure. The Company confirms that neither it nor any other Person acting on its behalf has provided any of the Buyers or their agents or counsel with any information that constitutes or could reasonably be expected to constitute material, non-public information concerning the Company or any of its Subsidiaries, other than the existence of the transactions contemplated by this Agreement and the other Transaction Documents. The Company understands and confirms that each of the Buyers will rely on the foregoing representations in effecting transactions in securities of the Company. All disclosure provided to the Buyers regarding the Company and its Subsidiaries, their businesses and the transactions contemplated hereby, including the schedules to this Agreement, furnished by or on behalf of the Company or any of its Subsidiaries is true and correct and does not contain any untrue statement of a material fact or omit to state any material fact necessary in order to make the statements made therein, in the light of the circumstances under which they were made, not misleading. Each press release issued by the Company or any of its Subsidiaries during the twelve (12) months preceding the date of this Agreement did not at the time of release contain any untrue statement of a material fact or omit to state a material fact required to be stated therein or necessary in order to make the statements therein, in the light of the circumstances under which they are made, not misleading. No event or circumstance has occurred or information exists with respect to the Company or any of its Subsidiaries or its or their business, properties, liabilities, prospects, operations (including results thereof) or conditions (financial or otherwise), which, under applicable law, rule or regulation, requires public disclosure at or before the date hereof or announcement by the Company but which has not been so publicly disclosed. The Company acknowledges and agrees that no Buyer makes or has made any representations or warranties with respect to the transactions contemplated hereby other than those specifically set forth in Section 2.",disclosure
"Disclosure. No representation or warranty by the Seller contained in this Agreement, and no statement contained in any document, certificate or other instrument delivered or to be delivered by or on behalf of the Seller pursuant to this Agreement, contains or will contain any untrue statement of a material fact or omit or will omit to state any material fact necessary, in light of the circumstances under which it was or will be made, in order to make the statements herein or therein not misleading.",disclosure
"Disclosure. No representation or warranty by the Company in this Agreement and no statement contained in the SEC Reports or any certificate or other document furnished or to be furnished to the Purchasers pursuant to this Agreement contains any untrue statement of a material fact or omits to state a material fact necessary in order to make the statements contained therein, in light of the circumstances under which they were made, not misleading.",disclosure
"Disclosure. No representation or warranty by the Parent or the Acquisition Subsidiary contained in this Agreement, and no statement contained in the any document, certificate or other instrument delivered or to be delivered by or on behalf of the Parent or the Acquisition Subsidiary pursuant to this Agreement, contains or will contain any untrue statement of a material fact or omits or will omit to state any material fact necessary, in light of the circumstances under which it was or will be made, in order to make the statements herein or therein not misleading. The Parent has disclosed to the Company all material information relating to the business of the Parent or any of its Subsidiaries or the transactions contemplated by this Agreement.",disclosure
"Disclosure. Neither the Information Memorandum nor any of the other reports, financial statements, certificates or other information furnished by or on behalf of the Borrower to the Administrative Agent or any Lender in connection with the negotiation of this Agreement (as modified or supplemented by other information so furnished) contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not misleading; provided that, with respect to projected financial information, the Borrower represents only that such information was prepared in good faith based upon assumptions believed to be reasonable at the time.",disclosure
"Disclosure. (a) No representation or warranty of Sellers in this Agreement and no statement in the Disclosure Letter omits to state a material fact necessary to make the statements herein or therein, in light of the circumstances in which they were made, not misleading.",disclosure
"Disclosure. The Company confirms that neither it nor any other Person acting on its behalf has provided any of the Purchasers or their agents or counsel with any information that constitutes or might constitute material, nonpublic information. The Company understands and confirms that the Purchasers will rely on the foregoing representations and covenants in effecting transactions in securities of the Company. All disclosure provided to the Purchasers regarding the Company, its business and the transactions contemplated hereby, including the Disclosure Schedules to this Agreement, furnished by or on behalf of the Company with respect to the representations and warranties made herein are true and correct with respect to such representations and warranties and do not contain any untrue statement of a material fact or omit to state any material fact necessary in order to make the statements made therein, in light of the circumstances under which they were made, not misleading. The Company acknowledges and agrees that no Purchaser makes or has made any representations or warranties with respect to the transactions contemplated hereby other than those specifically set forth in Section 3.2 hereof.",disclosure
"Disclosure. Each Loan Party and each Lender hereby acknowledges and agrees that the Administrative Agent and/or its Affiliates from time to time may hold investments in, make other loans to or have other relationships with any of the Loan Parties and their respective Affiliates.",disclosure
"Disclosure. No report, financial statement, certificate or other written information furnished by or on behalf of any Loan Party to the Administrative Agent or any Lender in connection with the transactions contemplated hereby and the negotiation of this Agreement or delivered hereunder or any other Loan Document (as modified or supplemented by other information so furnished), in each case on or prior to the Closing Date, when taken as a whole, contains any material misstatement of fact or omits to state any material fact necessary to make the statements therein, in the light of the circumstances under which they were made, not materially misleading; provided that, (A) with respect to projected financial information, the Borrower represents only that such information was prepared in good faith based upon assumptions believed by it to be reasonable at the time of preparation, it being understood that projections are as to future events and are not to be viewed as facts, that such projections are subject to significant uncertainties and contingencies, many of which are beyond the control of the Borrower and its Subsidiaries, that no assurance can be given that any particular projection will be realized and that actual results during the period or periods covered by any such projections may differ significantly from the projected results and such differences may be material and that such projections are not a guarantee of future financial performance and (B) that no representation is made with respect to information of a general economic or general industry nature.",disclosure
"Disclosure. Neither this Credit Agreement nor any financial statements delivered to the Lenders nor any other document, certificate or statement furnished to the Lenders by or on behalf of any Consolidated Party in connection with the transactions contemplated hereby contains any untrue statement of a material fact or omits to state a material fact necessary in order to make the statements contained therein or herein not misleading.",disclosure
