clause_text,clause_type
"Disputes. All disputes concerning questions of fact or of law arising under this Agreement, which are not addressed within the Whole Agreement as defined pursuant to Article 4 hereof, shall be decided by the Executive Director of H-GAC or his designee, who shall reduce his decision to writing and provide notice thereof to the Contractor. The decision of the Executive Director or his designee shall be final and conclusive unless, within thirty (30) days from the date of receipt of such notice, the Contractor requests a rehearing from the Executive Director of H-GAC. In connection with any rehearing under this Article, the Contractor shall be afforded an opportunity to be heard and offer evidence in support of its position. The decision of the Executive Director after any such rehearing shall be final and conclusive. The Contractor may, if it elects to do so, appeal the final and conclusive decision of the Executive Director to a court of competent jurisdiction. Pending final decision of a dispute hereunder, the Contractor shall proceed diligently with the performance of the Agreement and in accordance with H- GAC's final decision.",disputes
"Disputes. In the case of a dispute as to the determination of the Exercise Price or the arithmetic calculation of the number of Warrant Shares issuable in connection with any exercise, the Company shall promptly deliver to the Holder the number of Warrant Shares that are not disputed.",disputes
"Disputes. Any disputes, claims or controversies between or among the parties hereto arising out of or relating to this Guaranty or the transactions contemplated hereby, including disputes, claims or controversies relating to the meaning, interpretation, effect, validity, performance or enforcement of this Guaranty (all of which are referred to as “Disputes”) or relating in any way to such a Dispute or Disputes, shall on the demand of any party to such Dispute be resolved through binding and final arbitration in accordance with the Commercial Arbitration Rules (the “Rules”) of the American Arbitration Association (“AAA”) then in effect, except as modified herein. For the avoidance of doubt, a Dispute shall include a Dispute made derivatively on behalf of one party against another party. There shall be three arbitrators. If there are (a) only two parties to the Dispute, each party shall select one arbitrator within fifteen days after receipt by respondent of a copy of the demand for arbitration and (b) more than two parties to the Dispute, all claimants, on the one hand, and all respondents, on the other hand, shall each select, by the vote of a majority of the claimants or the respondents, as the case may be, one arbitrator. The two party-nominated arbitrators shall jointly nominate the third and presiding arbitrator within fifteen days of the nomination of the second arbitrator. If any arbitrator has not been nominated within the time limit specified herein, then the AAA shall provide a list of proposed arbitrators in accordance with the Rules, and the arbitrator shall be appointed by the AAA in accordance with a listing, striking and ranking procedure, with each party having a limited number of strikes, excluding strikes for cause. For the avoidance of doubt, the arbitrators appointed by the parties to such Dispute may be affiliates or interested persons of such parties but the third arbitrator elected by the party arbitrators or by the AAA shall be unaffiliated with either party. The place of arbitration shall be Boston, Massachusetts unless otherwise agreed by the parties. There shall be only limited documentary discovery of documents directly related to the issues in dispute, as may be ordered by the arbitrators. In rendering an award or decision (the “Arbitration Award”), the arbitrators shall be required to follow the laws of the Commonwealth of Massachusetts. Any arbitration proceedings or Arbitration Award rendered hereunder and the validity, effect and inte...",disputes
"Disputes. Borrower shall promptly notify Bank of all disputes or claims relating to Accounts. Borrower may forgive (completely or partially), compromise, or settle any Account for less than payment in full, or agree to do any of the foregoing so long as (i) Borrower does so in good faith, in a commercially reasonable manner, in the ordinary course of business, in arm’s-length transactions, and reports the same to Bank in the regular reports provided to Bank; (ii) no Event of Default has occurred and is continuing; and (iii) after taking into account all such discounts, settlements and forgiveness, the total outstanding Advances will not exceed the lesser of the Revolving Line or the Borrowing Base.",disputes
"Disputes. In the event of a billing dispute between Connecting Transmission Owner and Developer, Connecting Transmission Owner shall continue to perform under this Agreement as long as Developer: (i) continues to make all payments not in dispute; and (ii) pays to Connecting Transmission Owner or into an independent escrow account the portion of the invoice in dispute, pending resolution of such dispute. If Developer fails to meet these two requirements for continuation of service, then Connecting Transmission Owner may provide notice to Developer of a Default pursuant to Article 17. Within thirty (30) Calendar Days after the resolution of the dispute, the Party that owes money to the other Party shall pay the amount due with interest calculated in accord with the methodology set forth in FERC’s Regulations at 18 C.F.R. § 35.19a(a)(2)(iii).",disputes
"Disputes. If a dispute arises during or after the term of this Agreement between the Landlord and Tenant, they shall agree to hold negotiations amongst themselves, in ""good faith"", before any litigation.",disputes
"Disputes. Any dispute or controversy arising under, out of, or in connection with this Agreement shall, at the election and upon written demand of either party, be finally determined and settled by binding arbitration in the City of Louisville, Kentucky, in accordance with the Labor Arbitration rules and procedures of the American Arbitration Association, and judgment upon the award may be entered in any court having jurisdiction thereof. The Company shall pay all costs of the arbitration and all attorneys’ and accountants’ fees of the Employee in connection therewith, including any litigation to enforce any arbitration award.",disputes
"Disputes. A. Should any disputes arise with respect to this Contract, the Contractor and the State agree to act immediately to resolve such disputes. Time is of the essence in the resolution of disputes.",disputes
"Disputes. If any disagreement or dispute shall arise between or among any of the parties hereto and/or any other persons resulting in adverse claims and demands being made for a Escrow Funds or any portion thereof, Escrow Agent shall immediately return the Escrow Funds to OPWC, whereupon Escrow Agent shall have no further obligations under this Agreement and Recipient and OPWC shall hold harmless Escrow Agent from any and all claims relating to this Agreement other than those arising from Escrow Agent’s fraud, bad faith, negligence or intentional misconduct.",disputes
"Disputes. The Parties recognize that disputes as to certain matters may from time to time arise that relate to either Party’s rights and/or obligations hereunder. It is the objective of the Parties to establish procedures to facilitate the resolution of disputes arising under this Agreement in an expedient manner by mutual cooperation and without resort to litigation. To accomplish this objective, the Parties agree to follow the procedures set forth in this Article 14 to resolve any controversy or claim arising out of, relating to or in connection with any provision of this Agreement, if and when a dispute arises under this Agreement.",disputes
