clause_text,clause_type
"Dissolution. In the event of any dissolution of the Company following the transfer of all or substantially all of its properties or assets, the Company, prior to such dissolution, shall at its expense deliver or cause to be delivered the stock and other securities and property (including cash, where applicable) receivable by the Holder of the Warrants after the effective date of such dissolution pursuant to this Section 3 to a bank or trust company (a ""Trustee"") having its principal office in New York, NY, as trustee for the Holder of the Warrants.",dissolution
"Dissolution. The Company shall dissolve, and its affairs shall be wound up, upon the first to occur of the following: (a) the written consent of the Member or (b) the entry of a decree of judicial dissolution under Section 18-802 of the Act.",dissolution
"Dissolution. The Partnership shall not be dissolved by the admission of Substituted Limited Partners or Additional Limited Partners or by the admission of a successor General Partner in accordance with the terms of this Agreement. Upon the removal or withdrawal of the General Partner, if a successor General Partner is elected pursuant to Section 11.1 or 11.2, the Partnership shall not be dissolved and such successor General Partner shall continue the business of the Partnership. The Partnership shall dissolve, and (subject to Section 12.2) its affairs shall be wound up, upon:",dissolution
Dissolution. The Company shall be dissolved and its affairs shall be wound up on the first to occur of the following:,dissolution
"Dissolution. The Company shall be dissolved and its affairs wound up upon the occurrence of any of the following events: (i) upon unanimous written consent of the Member and 100% of the Managers, including the Independent Managers; (ii) the termination of the legal existence of the last remaining member of the Company or the occurrence of any other event which terminates the continued membership of the last remaining member of the Company in the Company unless the Company is continued without dissolution in a manner permitted by this Agreement or the Act; or (iii) the entry of a decree of judicial dissolution of the Company under §18-802 of the Act. Upon the occurrence of any event that causes the last remaining member of the Company to cease to be a member of the Company or that causes the Member to cease to be a member of the Company (other than upon continuation of the Company without dissolution upon (i) an assignment by the Member of all of its limited liability company interest in the Company and the admission of the transferee pursuant to Sections 6.03 and 6.04, or (ii) the resignation of the Member and the admission of an additional member of the Company pursuant to Sections 6.03 and 6.04), to the fullest extent permitted by law, the personal representative of such member is hereby authorized to, and shall, within 90 days after the occurrence of the event that terminated the continued membership of such member in the Company, agree in writing (i) to continue the Company and (ii) to the admission of the personal representative or its nominee or designee, as the case may be, as a substitute member of the Company, effective as of the occurrence of the event that terminated the continued membership of such member in the Company.",dissolution
"Dissolution. The Partnership shall not be dissolved by the admission of Substituted Limited Partners or Additional Limited Partners or by the admission of a successor General Partner in accordance with the terms of this Agreement. Upon the withdrawal of the General Partner, any successor General Partner shall continue the business and affairs of the Partnership without dissolution. However, the Partnership shall dissolve, and its affairs shall be wound up, upon the first to occur of any of the following (each a “Liquidating Event”):",dissolution
"Dissolution. Any order, judgment or decree shall be entered against any Credit Party decreeing the dissolution or split up of such Credit Party and such order shall remain undischarged or unstayed for a period in excess of thirty days; or",dissolution
"Dissolution. (a) The Company shall dissolve and its affairs shall be wound up upon the first to occur of: (i) the written consent of the Member, (ii) any time there are no members of the Company, unless the Company is continued in accordance with the Act or Sections 17 or 18 of this Agreement, or (iii) the entry of a decree of judicial dissolution under Section 18-802 of the Act.",dissolution
"Dissolution. Any order, judgment or decree shall be entered against Company or any of its Subsidiaries decreeing the dissolution or split up of Company or that Subsidiary and such order shall remain undischarged or unstayed for a period in excess of 30 days; or",dissolution
"Dissolution. Borrower shall not (a) engage in any dissolution, liquidation or consolidation or merger with or into any other business entity, (b) engage in any business activity not related to the ownership and operation of the Property, (c) transfer, lease or sell, in one transaction or any combination of transactions, the assets or all or substantially all of the properties or assets of Borrower except to the extent permitted by the Loan Documents, (d) modify, amend, waive or terminate its organizational documents or its qualification and good standing in any jurisdiction or (e) cause the Sole Member to (i) dissolve, wind up or liquidate or take any action, or omit to take an action, as a result of which the Sole Member would be dissolved, wound up or liquidated in whole or in part, or (ii) amend, modify, waive or terminate the certificate of limited partnership or partnership agreement of the Sole Member, in each case, without obtaining the prior written consent of Lender or Lender's designee.",dissolution
Dissolution. (a) The Company shall dissolve and its affairs shall be wound up on the first to occur of the following events (each a “Dissolution Event”):,dissolution
"Dissolution. The Company shall dissolve, and its affairs shall be wound up upon the first to occur of the following: (a) the written consent of the Member, (b) the death, retirement, resignation, expulsion, bankruptcy or dissolution of the Member or the occurrence of any other event which terminates the continued membership of the Member in the Company, or (c) the entry of a decree of judicial dissolution.",dissolution
Dissolution. The Company shall be dissolved and its affairs wound up upon the occurrence of any of the following events:,dissolution
Dissolution. The Company shall be dissolved upon (i) the adoption of a plan of dissolution by the Members acting by unanimity of the Votes and the approval of the Manager or (ii) the occurrence of any other event required to cause the dissolution of the Company under the Act.,dissolution
Dissolution. (a) The Company shall be dissolved upon the occurrence of any of the following events:,dissolution
"Dissolution. The LLC shall be dissolved, and its affairs shall be wound up upon the first to occur of the following: (i) the termination of the legal existence of the last remaining member of the LLC or the occurrence of any other event which terminates the continued membership of the last remaining member of the LLC in the LLC unless the LLC is continued without dissolution in a manner permitted by this Agreement or the Act or (ii) the entry of a decree of judicial dissolution under Section 18-802 of the Act.",dissolution
"Dissolution. Any order, judgment or decree shall be entered against the Borrower decreeing its involuntary dissolution or split up and such order shall remain undischarged and unstayed for a period in excess of sixty (60) days; or the Borrower shall otherwise dissolve or cease to exist except as specifically permitted by this Agreement.",dissolution
Dissolution. The Company shall dissolve upon the first to occur of any of the following events:,dissolution
Dissolution. The Company will be dissolved on the happening of any of the following events:,dissolution
"Dissolution. Borrower shall not (i) engage in any dissolution, liquidation or consolidation or merger with or into any other business entity, (ii) engage in any business activity not related to the ownership and operation of the Property or (iii) transfer, lease or sell, in one transaction or any combination of transactions, all or substantially all of the property or assets of Borrower except to the extent expressly permitted by the Loan Documents.",dissolution
"Dissolution. The Company will dissolve and its affairs will be wound up as may be determined by the Member, or upon the earlier occurrence of any other event causing dissolution of the Company under the Act. In such event, the Member will proceed diligently to wind up the affairs of the Company and make final distributions, and will cause the existence of the Company to be terminated.",dissolution
Dissolution. The Company shall commence its winding up upon the first to occur of the following (the “Dissolution Event”):,dissolution
Dissolution. The Partnership shall be dissolved upon the occurrence of any of the following events:,dissolution
"Dissolution. The respective obligations and responsibilities of the Issuer Trustees, the Administrative Trustees and the Issuer Trust created and continued hereby shall terminate upon the latest to occur of the following: (a) the distribution by the Property Trustee to Holders of all amounts required to be distributed hereunder upon the liquidation of the Issuer Trust pursuant to Section 9.4, or upon the redemption of all of the Trust Securities pursuant to Section 4.2; (b) the payment of any expenses owed by the Issuer Trust; and (c) the discharge of all administrative duties of the Administrative Trustees, including the performance of any tax reporting obligations with respect to the Issuer Trust or the Holders.",dissolution
"Dissolution. Except as otherwise provided in the Act, the Company shall dissolve upon the decision of the Member to dissolve the Company or the sale or other disposition of all, or substantially all, of the assets of the Company and the sale and/or collection of any evidence of indebtedness received in connection therewith. Dissolution of the Company shall be effective upon the date specified in the Member’s resolution or upon the sale or other disposition of all, or substantially all of the Assets of the Company and the sale and/or collection of any evidence of indebtedness received in connection therewith as applicable, but the Company shall not terminate until the assets of the Company shall have been distributed as provided in Section 15.3 and a certificate of cancellation of the certificate of formation of the Company is filed with the office of the Secretary of State of the State of Delaware pursuant to Section 18-203 of the Act. Notwithstanding dissolution of the Company, prior to the liquidation and termination of the Company, the Company shall continue to be governed by this Agreement.",dissolution
"Dissolution. Any order, judgment or decree is entered against Borrower or any of its Subsidiaries decreeing the dissolution or split up of Borrower or that Subsidiary and such order remains undischarged or unstayed for a period in excess of twenty (20) days; or",dissolution
"Dissolution. The Company shall be dissolved and its affairs wound up, upon the first to occur of the following events:",dissolution
"Dissolution. The Company shall dissolve and its affairs shall be wound up at such time, if any, as the Member may elect. No other event (including, without limitation, an event described in Section 18-801(4) of the Act) will cause the Company to dissolve.",dissolution
Dissolution. The Company shall dissolve and its affairs shall be wound up upon (a) the consent of the Member or (b) the entry of a decree of judicial dissolution under the Act. No other event will cause the Company to dissolve.,dissolution
Dissolution. The Company shall be dissolved and its affairs wound up as determined by the Member.,dissolution
"Dissolution. The Company shall not be dissolved by the admission of Additional Members or Substituted Members or the attempted withdrawal or resignation of a Member. The Company shall dissolve, and its affairs shall be wound up, upon:",dissolution
"Dissolution. (a) The Company shall dissolve and its affairs shall be wound up on the first to occur of the following: (i) the written consent of the Member, (ii) at any time there are no members of the Company unless the Company is continued in accordance with the Act, or (iii) the entry of a decree of judicial dissolution under Section 18-802 of the Act.",dissolution
Dissolution. The Company shall be dissolved upon the occurrence of any of the following:,dissolution
Dissolution. The Company shall be dissolved and its assets distributed as provided in the Act.,dissolution
Dissolution. The Company shall dissolve and its affairs shall be wound up on the first to occur of:,dissolution
"Dissolution. The Company shall dissolve and its affairs shall be wound up at such time, if any, as the Sole Member may elect. No other event will cause the Company to dissolve.",dissolution
Dissolution. The Company shall be dissolved and its affairs wound up on the first to occur of any of the following events:,dissolution
"Dissolution. The Company shall be dissolved and its affairs wound up upon the occurrence of an event causing a dissolution of the Company under Section 18-801 of the Act, except the Company shall not be dissolved upon the occurrence of an event that terminates the continued membership of a Member if (i) at the time of the occurrence of such event there are at least two Members of the Company, or (ii) within ninety (90) days after the occurrence of such event, all remaining Members agree in writing to continue the business of the Company and to the appointment, effective as of the date of such event, of one or more additional Members. In the event of dissolution, the Company shall conduct only such activities as are necessary to wind up its affairs (including the sale of the assets of the Company in an orderly manner), and the assets of the Company shall be applied in the manner, and in the order of priority set forth in Section 18-804 of the Act.",dissolution
"Dissolution. The Company shall dissolve and shall commence winding up and liquidating upon the first to occur of any of the following (each a “Dissolution Event”): (i) the affirmative vote of a 75% majority in interest of the Membership Voting Interests to dissolve, wind up and liquidate the Company; or (ii) the entry of a decree of judicial dissolution pursuant to the Act. The Members hereby agree that, notwithstanding any provision of the Act, the Company shall not dissolve prior to the occurrence of a Dissolution Event.",dissolution
"Dissolution. The Company shall be dissolved, and shall terminate and wind up its affairs, upon the first to occur of the following:",dissolution
"Dissolution. The Partnership shall dissolve, and its affairs shall be wound up, on December 31, 2054 or at such earlier time as (a) all of the partners of the Partnership approve in writing, (b) an event of withdrawal of a general partner has occurred under the Act, or (c) an entry of a decree of judicial dissolution has occurred under Section 620.158 of the Act; provided, however, the Partnership shall not be dissolved or required to be wound up upon an event of withdrawal of a general partner described in Section 7(b) hereof if (i) at the time of such event of withdrawal, there is at least one (1) other general partner of the Partnership who carries on the business of the Partnership (any remaining general partner being hereby authorized to carry on the business of the Partnership), or (ii) within ninety (90) days after the occurrence of such event of withdrawal, all remaining partners agree in writing to continue the business of the Partnership and to the appointment, effective as of the event of withdrawal, of one (1) or more additional general partners of the Partnership.",dissolution
"Dissolution. Neither the Borrower nor any of its Subsidiaries shall suffer or permit dissolution or liquidation either in whole or in part or redeem or retire any shares of its own stock or that of any of its Subsidiaries, except through corporate reorganization to the extent permitted by Section 6.10.",dissolution
Dissolution. The Company shall be dissolved:,dissolution
"Dissolution. The Original Member may dissolve the LLC at any time. Upon dissolution, the LLC must pay its debts first before distributing cash, assets, and/or initial capital to members or member’s interests. The dissolution may only be ordered by a Member, not by the owner of the Member’s interests.",dissolution
