clause_text,clause_type
"Distributions. Distributions shall be made to the Member at the times and in the aggregate amounts determined by the Member. Notwithstanding any provision to the contrary contained in this Agreement, the Company shall not make a distribution to the Member on account of its interest in the Company if such distribution would violate Section 18-607 of the Act or other applicable law.",distributions
"Distributions. The Trustee, as of the First Settlement Date, shall advance from its own funds and shall pay to the Unitholders of each Trust then of record the amount of interest accrued on the Bonds deposited in such Trust. The Trustee shall be entitled to reimbursement for such advancement from interest received by the respective Trust before any further distributions shall be made from the Interest Account to Unitholders of such Trust. The Trustee shall also advance from its own funds and pay the appropriate persons the Trustee Advance, which amount represents interest which accrues on any ""when, as and if issued"" Bonds deposited in a Trust from the First Settlement Date to the respective dates of delivery to the Trust of any of such Bonds. Subsequent distributions shall be made as hereinafter provided. Subsequent distributions of funds from the Interest Account of a Trust shall be made on the Monthly Record Dates of a Trust as described herein. As of each Monthly Record Date, the Trustee shall, with respect to each Trust:",distributions
Distributions. Distributions shall be made to the Member at the times and in the aggregate amounts determined by the Member.,distributions
"Distributions. (a) On each Distribution Date, to the extent of the Available Funds for such Distribution Date, the Certificate Administrator shall be deemed to transfer the Lower-Tier Distribution Amount from the Lower-Tier REMIC Distribution Account to the Upper-Tier REMIC Distribution Account in the amounts and priorities set forth in Section 4.01(c) with respect to each Class of Lower-Tier Regular Interests, and immediately thereafter, shall make distributions thereof from the Upper-Tier REMIC Distribution Account in the following order of priority, satisfying in full, to the extent required and possible, each priority before making any distribution with respect to any succeeding priority:",distributions
"Distributions. (a) The Trust Securities represent undivided beneficial interests in the Trust Property, and Distributions (including any Additional Interest Amounts) will be made on the Trust Securities at the rate and on the dates that payments of interest (including any Additional Interest) are made on the Notes. Accordingly:",distributions
"Distributions. (a) On each Distribution Date (x) the Master Servicer on behalf of the Trustee or (y) the Paying Agent appointed by the Trustee, shall distribute to the Master Servicer, in the case of a distribution pursuant to Section 4.02(a)(iii) below, the amount required to be distributed to the Master Servicer or a Sub-Servicer pursuant to Section 4.02(a)(iii) below, and to each Certificateholder of record on the next preceding Record Date (other than as provided in Section 9.01 respecting the final distribution) either in immediately available funds (by wire transfer or otherwise) to the account of such Certificateholder at a bank or other entity having appropriate facilities therefor, if such Certificateholder has so notified the Master Servicer or the Paying Agent, as the case may be, or, if such Certificateholder has not so notified the Master Servicer or the Paying Agent by the Record Date, by check mailed to such Certificateholder at the address of such Holder appearing in the Certificate Register such Certificateholder's share (which share (A) with respect to each Class of Certificates (other than any Subclass of the Class A-V Certificates), shall be based on the aggregate of the Percentage Interests represented by Certificates of the applicable Class held by such Holder or (B) with respect to any Subclass of the Class A-V Certificates, shall be equal to the amount (if any) distributed pursuant to Section 4.02(a)(i) below to each Holder of a Subclass thereof) of the following amounts, in the following order of priority (subject to the provisions of Section 4.02(b), (c) and (e) below), in each case to the extent of the Available Distribution Amount remaining:",distributions
"Distributions. The Trustees may from time to time declare and authorize the payment of, or may prescribe and set forth in a duly adopted vote or votes of the Trustees, the bases and time or frequency, which may be monthly or otherwise, for the declaration and payment of, such dividends and distributions on Shares of a particular Series or Class thereof as they may deem necessary or desirable, after providing for actual and accrued expenses and liabilities (including such reserves as the Trustees may establish) determined in accordance with good accounting practices. All dividends and distributions on Shares of a particular Series shall be distributed only from the Assets belonging to that Series, as such term is defined in Section 4.9 hereof, and shall be distributed pro rata to the Shareholders of that Series in proportion to the number of Shares of that Series held by such Shareholders at the date and time of record for the payment of such dividends or distributions, subject to any variations with respect to Classes of Shares of such Series, if any, and in a manner consistent with the 1940 Act and the Code. Such distributions may be paid in cash and/or in securities or other property, and the composition of any such distribution shall be determined by the Trustees and may be different among Shareholders (including differences among Shareholders in the same Series or Class).",distributions
"Distributions. On each Remittance Date, the Seller shall distribute by wire transfer to the Purchaser (i) all amounts credited to the Custodial Account as of the close of business on the preceding Determination Date, net of charges against or withdrawals from the Custodial Account pursuant to Section 4.05, plus (ii) all Monthly Advances, if any, which the Seller is obligated to distribute pursuant to Section 5.03, plus (iii) all payments in respect of Compensating Interest for such Remittance Date required to be deposited in the Custodial Account pursuant to Section 4.04(viii), minus (iv) any amounts attributable to Monthly Payments collected but due on a Due Date or Dates subsequent to the preceding Determination Date, which amounts shall be remitted on the Remittance Date next succeeding the Due Period for such amounts, and any Principal Prepayments received during the month of such Remittance Date, which amounts shall be remitted on the next succeeding Remittance Date. With respect to any remittance received by the Purchaser after the Business Day following the Business Day on which such payment was due, the Seller shall pay to the Purchaser interest on any such late payment at an annual rate equal to the Prime Rate, adjusted as of the date of each change, plus two percentage points, but in no event greater than the maximum amount permitted by applicable law. Such interest shall be deposited in the Custodial Account by the Seller on the date such late payment is made and shall cover the period commencing with the day following the second Business Day on which such payment was due and ending with the Business Day on which such payment is made, both inclusive. Such interest shall be remitted along with the distribution payable on the next succeeding Remittance Date. The payment by the Seller of any such interest shall not be deemed an extension of time for payment or a waiver of any Event of Default by the Seller.",distributions
"Distributions. (a) On each Distribution Date, amounts held in the Lower-Tier Distribution Account shall be withdrawn (to the extent of the Available Funds, including or reduced by, to the extent required by Section 3.05(e) of this Agreement, the Withheld Amounts, plus any amount withdrawn from the Gain-on-Sale Reserve Account pursuant to Section 3.05(i) of this Agreement) in the case of all Classes of Lower-Tier Regular Interests (such amount, the “Lower-Tier Distribution Amount”). On each Distribution Date, distributions in respect of principal shall be deemed to have been made on each Class of Lower-Tier Regular Interests in an amount equal to the amount of principal actually distributed on its respective Corresponding Certificates as provided in Section 4.01(b) of this Agreement. As of any date, the principal balance of each Lower-Tier Regular Interest shall equal the Lower-Tier Principal Balance thereof. On each Distribution Date, distributions of interest made in respect of any Class of Regular Certificates on each Distribution Date pursuant to Section 4.01(b) or Section 9.01 of this Agreement shall be deemed to have first been distributed from the Lower-Tier REMIC to the Upper-Tier REMIC in respect of its Corresponding Lower-Tier Regular Interest set forth in the Preliminary Statement to this Agreement; provided that each Lower-Tier Regular Interest shall be deemed to have received distributions in respect of interest in an amount equal to the Interest Accrual Amount and Interest Shortfalls in respect of the Class X Strip Rate of its Corresponding Component, in each case to the extent actually distributed to the related Class of Corresponding Certificates thereon as provided in Section 4.01(b) of this Agreement. All distributions of reimbursements of Realized Losses and Additional Trust Fund Expenses made in respect of any Class of Sequential Pay Certificates on each Distribution Date pursuant to Section 4.01(b) of this Agreement shall be deemed to have first been distributed from the Lower-Tier REMIC to the Upper-Tier REMIC in respect of its Corresponding Lower-Tier Regular Interest set forth in the Preliminary Statement to this Agreement; provided, that distributions of reimbursements of Realized Losses and Additional Trust Fund Expenses shall be made in sequential order of the priority set forth in this Section 4.01(a) for principal distributions, up to the amount of Realized Losses and Additional Trust Fund Expenses previously allocated to a particular Lower-Ti...",distributions
"Distributions. Any distributions of money or other property by the Company to owners of Shares, including distributions that may constitute a return of capital for federal income tax purposes.",distributions
