clause_text,clause_type
"Duration and Termination. (a) This Agreement shall be effective immediately as of the date set forth above and shall continue in effect for two years from its effective date with respect to the Fund, unless sooner terminated as provided herein, and shall continue year to year thereafter, provided each continuance is specifically approved at least annually by (i) the vote of a majority of the Trustees or (ii) a vote of a ""majority"" (as defined in the 1940 Act) of the Fund's outstanding voting securities, provided that in either event the continuance is also approved by a majority of the Trustees who are neither (A) parties to this Agreement nor (B) ""interested persons"" (as defined in the 1940 Act) of any party to this Agreement, by vote cast in person (to the extent required by the 1940 Act) at a meeting called for the purpose of voting on such approval.",duration-and-termination
"Duration and Termination. This Agreement shall become effective upon approval by the Trust’s Board of Trustees and its execution by the parties hereto. Pursuant to the exemptive relief obtained in the SEC Order dated April 29, 1996, Investment Company Act Release No. 21921, approval of the Agreement by a majority of the outstanding voting securities of a Fund is not required, and the Sub-Adviser acknowledges that it and any other sub-adviser so selected and approved shall be without the protection (if any) accorded by shareholder approval of an investment adviser’s receipt of compensation under Section 36(b) of the 1940 Act. This Agreement shall continue in effect for a period of more than two years from the date hereof only so long as continuance is specifically approved at least annually in conformance with the 1940 Act; provided, however, that this Agreement may be terminated with respect to a Fund (a) by the Fund at any time, without the payment of any penalty, by the vote of a majority of Trustees of the Trust or by the vote of a majority of the outstanding voting securities of the Fund, (b) by the Adviser at any time, without the payment of any penalty, on not more than 60 days’ nor less than 30 days’ written notice to the Sub-Adviser, or (c) by the Sub-Adviser at any time, without the payment of any penalty, on 90 days’ written notice to the Adviser. This Agreement shall terminate automatically and immediately in the event of its assignment, or in the event of a termination of the Advisory Agreement with the Trust. As used in this Paragraph 6, the terms “assignment” and “vote of a majority of the outstanding voting securities” shall have the respective meanings set forth in the 1940 Act and the rules and regulations thereunder, subject to such exceptions as may be granted by the SEC under the 1940 Act.",duration-and-termination
"Duration and Termination. This Agreement shall become effective with respect to each Fund as of the corresponding effective date indicated in Appendix A and, unless sooner terminated with respect to a Fund as provided herein, shall continue in effect for a period of two years as to such Fund. Thereafter, if not terminated, this Agreement shall continue in effect with respect to the Fund for successive periods of 12 months, provided such continuance is specifically approved at least annually by both (a) the vote of a majority of the Trust’s Board of Trustees or the vote of a majority of the outstanding voting securities of the Fund at the time outstanding and entitled to vote, and (b) the vote of a majority of the Trustees who are not parties to this Agreement or interested persons of any party to this Agreement, cast in person at a meeting called for the purpose of voting on such approval. Notwithstanding the foregoing, this Agreement may be terminated by the Trust at any time as to a Fund, without the payment of any penalty, upon giving the Advisor 60 days’ notice (which notice may be waived by the Advisor), provided that such termination by the Trust shall be directed or approved (x) by the vote of a majority of the Trustees of the Trust in office at the time or by the vote of the holders of a majority of the voting securities of the Fund at the time outstanding and entitled to vote, or (y) by the Advisor on 60 days’ written notice (which notice may be waived by the Trust). This Agreement will also immediately terminate in the event of its assignment. (As used in this Agreement, the terms “majority of the outstanding voting securities,” “interested person” and “assignment” shall have the same meanings of such terms in the 1940 Act.)",duration-and-termination
"Duration and Termination. This Agreement, unless sooner terminated as provided herein, shall continue for two years after its initial approval as to each Portfolio and thereafter for periods of one year for so long as such continuance thereafter is specifically approved at least annually (a) by the vote of a majority of those Trustees of the Trust who are not parties to this Agreement or interested persons of any such party, cast in person at a meeting called for the purpose of voting on such approval, and (b) by the Trustees of the Trust or by vote of a majority of the outstanding voting securities of each Portfolio; provided, however, that if the shareholders of any Portfolio fail to approve the Agreement as provided herein, the Adviser may continue to serve hereunder in the manner and to the extent permitted by the Investment Company Act of 1940 and rules thereunder. The foregoing requirement that continuance of this Agreement be ""specifically approved at least annually"" shall be construed in a manner consistent with the Investment Company Act of 1940 and the rules and regulations thereunder. This Agreement may be terminated as to any Portfolio at any time, without the payment of any penalty, by the Manager, by vote of a majority of the Trustees of the Trust or by vote of a majority of the outstanding voting securities of the Portfolio on not less than 30 days nor more than 60 days written notice to the Adviser, or by the Adviser at any time without the payment of any penalty, on 60 days written notice to the Trust. This Agreement will automatically and immediately terminate in the event of its assignment. Any notice under this Agreement shall be given in writing, addressed and delivered, or mailed postpaid, to the other party at the primary office of such party, unless such party has previously designated another address. As used in this Section 11, the terms ""assignment"", ""interested persons"", and a ""vote of a majority of the outstanding voting securities"" shall have the respective meanings set forth in the Investment Company Act of 1940 and the rules and regulations thereunder, subject to such exemptions as may be granted by the Securities and Exchange Commission under said Act.",duration-and-termination
"Duration and Termination. This Agreement shall become effective on July 21, 2015 and shall continue in effect until February 28, 2017, and thereafter, only if such continuance is approved at least annually by a vote of the Board, including the vote of a majority of the directors who are not parties to this Agreement or interested persons of any such party, cast in person, at a meeting called for the purpose of voting such approval. In addition, the question of continuance of this Agreement may be presented to the shareholders of the Portfolio; in such event, such continuance shall be effected only if approved by the affirmative vote of the holders of a majority of the outstanding voting securities of the Portfolio. This Agreement may at any time be terminated without payment of any penalty either by vote of the Board or by vote of the holders of a majority of the outstanding voting securities of the Portfolio, on not more than (60) sixty days’ written notice to the Manager. This Agreement shall automatically terminate in the event of its assignment. This Agreement may be terminated by the Manager after ninety (90) days’ written notice to the Fund. As used in this Section, the terms “assignment,” “interested persons,” “voting securities,” and a “majority of the outstanding voting securities” shall have the respective meanings set forth in Section 2(a)(4), Section 2(a)(19), Section 2(a)(42) of the 1940 Act and Rule 18f-2 thereunder.",duration-and-termination
"Duration and Termination. (a) With respect to each Series identified as a Series on Schedule A hereto as in effect on the date of this Agreement, unless earlier terminated with respect to any Series this Agreement shall continue in full force and effect through two years from the effective date with respect to each such Series of this Agreement. Thereafter, unless earlier terminated with respect to a Series, the Agreement shall continue in full force and effect with respect to each such Series for periods of one year, provided that such continuance is specifically approved at least annually by: (1) the vote of a majority of the Board of Trustees of the Trust; or (2) the vote of a majority of the outstanding voting shares of the Series (as defined in the 1940 Act), and provided that such continuance is also approved by the vote of a majority of the Board of Trustees of the Trust who are not parties to this Agreement or “interested persons” (as defined in the 1940 Act) of the Trust or the Manager, cast in person at a meeting called for the purpose of voting on such approval. With respect to any Series that was added to Schedule A hereto as a Series after the date of this Agreement, the Agreement shall become effective on the later of: (1) the date Schedule A is amended to reflect the addition of such Series as a Series under the Agreement; or (2) the date upon which the shares of the Series are first sold to the public, subject to the condition that the Trust’s Board of Trustees, including a majority of those Trustees who are not interested persons (as such term is defined in the 1940 Act) of the Manager, and to the extent necessary under applicable law, the shareholders of such Series, shall have approved this Agreement. Unless terminated earlier as provided herein with respect to any such Series, the Agreement shall continue in full force and effect for a period of two years from the date of its effectiveness (as identified above) with respect to that Series. Thereafter, unless earlier terminated with respect to a Series, the Agreement shall continue in full force and effect with respect to each such Series for periods of one year, provided that such continuance is specifically approved at least annually by: (1) the vote of a majority of the Board of Trustees of the Trust; or (2) vote of a majority of the outstanding voting shares of such Series (as defined in the 1940 Act), and provided that such continuance is also approved by the vote of a majority of the Board of Trustees of th...",duration-and-termination
"Duration and Termination. This Agreement, unless sooner terminated as provided herein, shall continue until the earlier of December 29, 2001 or the date of the first annual or special meeting of the shareholders of the Portfolio and, if approved by a majority of the outstanding voting securities of the Portfolio, thereafter shall continue for periods of one year so long as such continuance is specifically approved at least annually (a) by the vote of a majority of those members of the Board of Trustees of the Fund who are not parties to this Agreement or interested persons of any such party, cast in person at a meeting called for the purpose of voting on such approval, and (b) by the Board of Trustees of the Fund or (c) by vote of a majority of the outstanding voting securities of the Portfolio; provided however, that if the shareholders of the Portfolio fail ---------------- to approve the Agreement as provided herein, the Adviser may continue to serve in such capacity in the manner and to the extent permitted by the 1940 Act and rules thereunder. This Agreement may be terminated by the Portfolio at any time, without the payment of any penalty, by vote of a majority of the entire Board of Trustees of the Fund or by vote of a majority of the outstanding voting securities of the Portfolio on 60 days' written notice to the Adviser. This Agreement may be terminated by the Adviser at any time, without the payment of any penalty, upon 90 days' written notice to the Fund. This Agreement will automatically and immediately terminate in the event of its assignment. Any notice under this Agreement shall be given in writing, addressed and delivered or mailed postpaid, to the other party at the principal office of such party. As used in this Section 9, the terms ""assignment"", ""interested persons"", and ""a vote of a majority of the outstanding voting securities"" shall have the respective meanings set forth in Section 2(a)(4), Section 2(a)(19) and Section 2(a)(42) of the 1940 Act.",duration-and-termination
"Duration and Termination. The Agreement will become effective as to a Fund upon execution or, if later, on the date that initial capital for such Fund is first provided to it and, unless sooner terminated as provided herein, will continue in effect for two years from the effective date of the initial Investment Sub-Advisory Agreement with regard to all Fund(s) covered by this Agreement. Thereafter, if not terminated as to a Fund, this Agreement will continue from year to year through September 30th of each successive year following the initial two year period, for each Fund covered by this Agreement, as listed on Schedule A, provided that such continuation is specifically approved at least annually by the Trust’s Board of Trustees or by vote of a majority of the outstanding voting securities of such Fund(s), and in either event approved also by a majority of the Trustees of the Trust who are not interested persons of the Trust, or of the Adviser, or of the Sub-Adviser. Notwithstanding the foregoing, this Agreement may be terminated as to a Fund at any time, without the payment of any penalty, on sixty days’ written notice by the Trust or Adviser, or on sixty days’ written notice by the Sub-Adviser. This Agreement will immediately terminate in the event of its assignment. (As used in this Agreement, the terms “majority of the outstanding voting securities”, “interested persons” and “assignment” have the same meaning of such terms as in the 1940 Act.) Section 10 and 11 herein shall survive the termination of this Agreement. This Amendment may be executed in one or more counterparts, which together shall constitute one document.",duration-and-termination
"Duration and Termination. This Agreement shall become effective as of the date executed and shall remain in full force and effect continually thereafter, subject to renewal as provided in Section 12(c) and unless terminated automatically as set forth in Section 11 hereof or until terminated as follows:",duration-and-termination
"Duration and Termination. This Agreement shall continue in effect for two years from the date set forth above and thereafter shall continue automatically for successive annual periods, provided such continuance is specifically approved at least annually by (i) the Trustees or (ii) by vote of a ""majority"" (as defined in the 1940 Act) of the Fund's outstanding voting securities (as defined in the 1940 Act), provided that in either event the continuance is also approved by a majority of the Trustees who are not parties to this Agreement or ""interested persons"" (as defined in the 1940 Act) of any party to this Agreement, by vote cast in person at a meeting called for the purpose of voting on such approval. Notwithstanding the foregoing, this Agreement may be terminated: (a) at any time without penalty (i) by the Manager, (ii) by the Trust upon the vote of a majority of the Trustees or (iii) by vote of the majority of the Fund's outstanding voting securities, each upon sixty (60) days' written notice to the Portfolio Manager; or (b) by the Portfolio Manager at any time without penalty, upon sixty (60) days' written notice to the Trust or the Manager. This Agreement will also terminate automatically in the event of its assignment (as defined in the 1940 Act).",duration-and-termination
"Duration and Termination. (a) This Agreement shall become effective upon the date first above written, provided that this Agreement shall not take effect unless it has first been approved (i) by a vote of a majority of those trustees of the Trust who are not parties to this Agreement or interested persons of any such party (“Independent Trustees”), cast in person at a meeting called for the purpose of voting on such approval, and (ii) by vote of a majority of the Portfolio’s outstanding voting securities, unless UBS Global AM has authority to enter into this Agreement pursuant to exemptive relief from the SEC without a vote of the Portfolio’s outstanding voting securities.",duration-and-termination
"Duration and Termination. This Agreement shall become effective as of the date of execution first written above, and shall continue in effect for two years and continue thereafter on an annual basis with respect to each Portfolio; provided that such annual continuance is specifically approved at least annually (a) by the vote of a majority of the Board, or (b) by the vote of a majority of the outstanding voting shares of each Portfolio, and provided that continuance is also approved by the vote of a majority of the Board who are not parties to this Agreement or “interested persons” (as such term is defined in the 1940 Act) of the Fund, the Investment Adviser, or the Portfolio Manager, cast in person at a meeting called for the purpose of voting on such approval. This Agreement may be terminated with respect to any Portfolio:",duration-and-termination
"Duration and Termination. (a) This Agreement shall go into effect on the date hereof and shall, unless terminated as hereinafter provided, continue in effect until November 12, 1998, and thereafter from year to year, but only so long as such continuance is specifically approved at least annually by the Trust's Board of Trustees, including the vote of a majority of the Trustees who are not parties to this Agreement or ""interested persons"" (as defined in the 1940 Act) of any such party cast in person at a meeting called for the purpose of voting on such approval, or by the vote of the holders of a ""majority"" (as so defined) of the outstanding voting securities of the Fund and by such a vote of the Trustees.",duration-and-termination
"Duration and Termination. This Agreement will become effective as of the date hereof and, unless sooner terminated with respect to the Portfolio as provided herein, shall continue in effect with respect to the Portfolio for a period of two years. Thereafter, if not terminated, this Agreement shall continue in effect with respect to the Portfolio for successive periods of 12 months, provided such continuance is specifically approved at least annually (a) by the vote of a majority of those members of the Fund’s Board of Trustees who are not interested persons of any party to this Agreement, cast in person at a meeting called for the purpose of voting on such approval, and (b) by the Fund’s Board of Trustees or by a vote of a majority of the outstanding voting securities of the Portfolio. Notwithstanding the foregoing, this Agreement may be terminated with respect to the Portfolio at any time, without the payment of any penalty, by the Fund (by vote of the Fund’s Board of Trustees or by vote of a majority of the outstanding voting securities of the Portfolio), or by Adviser or Sub-Adviser on sixty days’ written notice, and will terminate automatically upon any termination of the Advisory Agreement between the Fund and Adviser. This Agreement will also immediately terminate in the event of its assignment. (As used in this Agreement, the terms “majority of the outstanding voting securities,” “interested person” and “assignment” shall have the same meanings as such terms in the 1940 Act.)",duration-and-termination
"Duration and Termination. This Agreement shall become effective on the date first indicated above. Unless terminated as provided herein, the Agreement shall remain in full force and effect for an initial period of two (2) years from the date first indicated above when following a shareholder approval, and otherwise a period of one (1) year, and continue on an annual basis thereafter with respect to the Series, provided that such continuance is specifically approved each year by: (a) the vote of a majority of the entire Board or by the vote of a majority of the outstanding voting securities (as defined in the 1940 Act) of the Series; and (b) the vote of a majority of those applicable Trustees who are not parties to this Agreement or interested persons (as such term is defined in the 1940 Act) of any such party to this Agreement cast in person at a meeting called for the purpose of voting on such approval. Any approval of this Agreement by the holders of a majority of the outstanding shares (as defined in the 1940 Act) of a Series shall be effective to continue this Agreement with respect to the Series notwithstanding: (i) that this Agreement has not been approved by the holders of a majority of the outstanding shares of any other Series; or (ii) that this Agreement has not been approved by the vote of a majority of the outstanding shares of the Registrant, unless such approval shall be required by any other applicable law or otherwise. Notwithstanding the foregoing, this Agreement may be terminated for each or any Series hereunder: (A) by the Manager at any time without penalty, upon sixty (60) days’ written notice to the Subadvisor and the applicable Registrant; (B) at any time without payment of any penalty by the Registrant, upon the vote of a majority of each Registrant’s Board or a majority of the outstanding voting securities of each Portfolio, upon sixty (60) days’ written notice to the Manager and the Subadvisor; or (C) by the Subadvisor at any time without penalty, upon sixty (60) days’ written notice to the Manager and the Registrant. In the event of termination for any reason, all records of each Series for which the Agreement is terminated shall promptly be returned to the Manager or the applicable Registrant, free from any claim or retention of rights in such record by the Subadvisor; provided, however, that the Subadvisor may, at its own expense, make and retain a copy of such records. The Agreement shall automatically terminate in the event of its assignment (as such ...",duration-and-termination
