clause_text,clause_type
"DURATION OF AGREEMENT. All agreements and obligations of the Company contained herein shall continue during the period Indemnitee serves as a director or officer of the Company or as a director, officer, trustee, partner, manager, managing member, fiduciary, employee or agent of any other corporation, partnership, joint venture, trust, employee benefit plan or other Enterprise which Indemnitee serves at the request of the Company and shall continue thereafter so long as Indemnitee shall be subject to any possible Proceeding (including any rights of appeal thereto and any Proceeding commenced by Indemnitee pursuant to Section 14 of this Agreement) by reason of Indemnitee’s Corporate Status, whether or not Indemnitee is acting in any such capacity at the time any liability or expense is incurred for which indemnification or advancement can be provided under this Agreement.",duration-of-agreement
"DURATION OF AGREEMENT. All agreements and obligations of the Company contained herein shall continue during the period Indemnitee is an officer or director of the Company (or is or was serving at the request of the Company as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise) and shall continue thereafter so long as Indemnitee shall be subject to any Proceeding (or any proceeding commenced under Section 7 hereof) by reason of his Corporate Status, whether or not he is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement. This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties hereto and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.",duration-of-agreement
DURATION OF AGREEMENT. This Agreement shall continue in existence and effect until terminated as herein provided.,duration-of-agreement
"DURATION OF AGREEMENT. This Agreement shall become effective on the date first above written, provided that this Agreement shall not take effect with respect to any of the Portfolio(s) unless it has first been approved with respect to such Portfolio(s) by the Trust Board, including approval by a vote of a majority of those trustees of the Trust who are not “interested persons” (as defined in the Investment Company Act) of any party to this Agreement (“Independent Trustees”), cast in person at a meeting called for the purpose of voting on such approval, and, if required, by the vote of a majority of the outstanding voting securities of such Portfolio(s). This Agreement shall continue in effect for a period of two years from the date first set forth above, or for any additional Portfolio(s) from the effective date of this Agreement with respect to such Portfolio(s), and shall continue in effect from year to year thereafter, or from year to year after the effective date for additional Portfolio(s), only so long as such continuance is specifically approved at least annually by the Trust Board, including approval by a vote of a majority of the Independent Trustees, cast in person at a meeting called for the purpose of voting on such approval.",duration-of-agreement
"DURATION OF AGREEMENT. This Agreement shall continue until and terminate upon the later of: (a) ten (10) years after the date that Indemnitee shall have ceased to serve as a director of the Company or (b) one (1) year after the final termination of any Proceeding, including any appeal, then pending in respect of which Indemnitee is granted rights of indemnification or advancement hereunder and of any proceeding commenced by Indemnitee pursuant to Section 12 of this Agreement relating thereto. This Agreement shall be binding upon the Company and its successors and assigns and shall inure to the benefit of Indemnitee and his or her heirs, executors and administrators. The Company shall require and cause any successor (whether direct or indirect by purchase, merger, consolidation or otherwise) to all, substantially all or a substantial part, of the business and/or assets of the Company, by written agreement in form and substance satisfactory to Indemnitee, expressly to assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform if no such succession had taken place.",duration-of-agreement
DURATION OF AGREEMENT. This Agreement shall continue in existence and effect until terminated as herein provided. This Agreement shall continue notwithstanding transfers of the Mortgage Loans by the Purchaser.,duration-of-agreement
"DURATION OF AGREEMENT. This Agreement continues until and terminates upon the later of: (a) ten (10) years after the date that Indemnitee ceases to have a Corporate Status or (b) one (1) year after the final termination of any Proceeding then pending in respect of which Indemnitee is granted rights of indemnification or advancement of Expenses hereunder and of any Proceeding commenced by Indemnitee pursuant to Section 14 of this Agreement relating thereto. The indemnification and advancement of Expenses rights provided by or granted pursuant to this Agreement are binding upon and be enforceable by the parties hereto and their respective successors and assigns (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), continue as to an Indemnitee who has ceased to be a director, officer, employee or agent of the Company or of any other Enterprise, and inure to the benefit of Indemnitee and Indemnitee’s spouse, assigns, heirs, devisees, executors and administrators and other legal representatives.",duration-of-agreement
"DURATION OF AGREEMENT. This Agreement shall continue until and terminate upon the later of: (a) ten (10) years after the date that Indemnitee shall have ceased to serve as a director or officer of the Company or as a director, officer, trustee, partner, managing member, fiduciary, employee or agent of any other corporation, partnership, joint venture, trust, employee benefit plan or other enterprise which Indemnitee served at the request of the Company; or (b) one (1) year after the final termination of any Proceeding (including any rights of appeal thereto) then pending in respect of which Indemnitee is granted rights of indemnification or advancement of Expenses hereunder and of any Proceeding commenced by Indemnitee pursuant to Section 13 of this Agreement relating thereto (including any rights of appeal of any Section 13 Proceeding).",duration-of-agreement
"DURATION OF AGREEMENT. This Agreement shall continue until and terminate upon the later of: (a) ten (10) years after the date that Indemnitee shall have ceased to serve as a director, officer, employee, or agent of the Company or (b) one (1) year after the final termination of any Proceeding then pending in respect of which Indemnitee is granted rights of indemnification or advancement of Expenses hereunder and of any proceeding commenced by Indemnitee pursuant to Section 14 of this Agreement relating thereto. This Agreement shall be binding upon the Company and its successors and assigns and shall inure to the benefit of Indemnitee and his heirs, executors and administrators.",duration-of-agreement
DURATION OF AGREEMENT. This Agreement shall become effective upon the date of its execution. This Agreement will continue in effect for a period more than one year from the date of its execution only so long as such continuance is specifically approved at least annually by the Board of Trustees provided that in such event such continuance shall also be approved by the vote of a majority of the Independent Trustees cast in person at a meeting called for the purpose of voting on such approval.,duration-of-agreement
