clause_text,clause_type
"Duties. The Advisor may, in its discretion, appoint the Sub-Advisor to perform one or more of the following services with respect to all or a portion of the investments of the Portfolio. The services and the portion of the investments of the Portfolio to be advised or managed by the Sub-Advisor shall be as agreed upon from time to time by the Advisor and the Sub-Advisor. The Sub-Advisor shall pay the salaries and fees of all personnel of the Sub-Advisor performing services for the Portfolio relating to research, statistical and investment activities.",duties
"Duties. Subject to the terms and conditions of this Agreement, Executive hereby agrees to be employed as Executive Vice President and Chief Financial Officer of the Company and agrees to devote such working time and efforts (except for permitted vacation periods and reasonable periods of illness and other incapacity), to the best of his ability, experience and talent, to the performance of services, duties and responsibilities in connection therewith so that such performance shall be his primary business activity. Executive shall perform such duties and exercise such powers with respect to the activities of the Company, commensurate with his position, as Executive Vice President and Chief Financial Officer of the Company, as the Chief Executive Officer shall from time to time reasonably delegate to him.",duties
"Duties. During the Term (as defined in Paragraph 4 below), Director shall provide advisory services to Company as reasonably needed by Company (e.g. attend at least four (4) in person Board meetings to the extent such are scheduled and be available for Board calls upon reasonable notice) and serve as a member of the Board of Directors (the “Board”) of Company (the “Duties”). Director shall serve on committees and as Chair of committees as reasonably determined by the Board. Director agrees to use his best efforts in connection with performing the Duties under this Agreement. Director acknowledges and agrees that he does not have the authority to bind Company with respect to any matters, including the execution of agreements, without authorization from a majority of the Board.",duties
"Duties. Executive shall perform such duties as are usually performed by a President/Chief Executive Officer of a business similar in size and scope as the Company and such other reasonable additional duties as may be prescribed from time-to-time by the Company's board of directors which are reasonable and consistent with the Company's operations, taking into account Executive's expertise and job responsibilities. This agreement shall survive any job title or responsibility change agreed to by Executive. Executive shall report directly to the board of directors of the Company regarding implementation of all business matters. All actions of Executive shall be subject and subordinate to the review and approval of the board of directors. No other person or group shall be given authority to supervise or direct Executive in the performance of his duties. The board of directors shall be the final and exclusive arbiter of all policy decisions relative to the Company's business.",duties
"Duties. During the Term hereof, the Executive shall have such duties and authority as are typical of a president of a company such as the Bank, including, without limitation, those specified in the Bank's Bylaws and applicable resolutions and policies adopted by the Company's or the Bank's respective Boards of Directors. Executive agrees that during the Term hereof, he will devote his full time, attention and energies to the diligent performance of his duties. Executive shall not, without prior written consent of the Company and the Bank, at any time during the Term hereof (i) accept employment with, or render services of a business, professional or commercial nature to, any Person other than the Company and the Bank; (ii) engage in any venture or activity which the Company or the Bank may in good faith consider to be competitive with or adverse to the business of the Company, the Bank or of any other affiliate of the Company, whether alone, as a partner, or as an officer, director, employee or shareholder or otherwise, except that the ownership of not more than 5% of the stock or other equity interest of any publicly traded corporation or other entity shall not be deemed a violation of this Section; or (iii) engage in any venture or activity which the Board of Directors of the Company or the Bank may in good faith consider to interfere with Executive's performance of his duties hereunder; provided, however, Executive shall only be deemed to be in breach of (ii) or (iii) of this section 3 after he has been given written notice by the Board of Directors of the Company or the Bank that such Board believes he is engaging in an impermissible activity and the Executive has not terminated such activity within 15 days after such notice.",duties
"Duties. The Executive shall serve as Chief Executive Officer and President of the Company, having such power, authority and responsibility and performing such duties as are prescribed by or under the Company’s By-Laws and as are customarily associated with such positions. The Executive shall devote his full business time and attention (other than during weekends, holidays, approved vacation periods, and periods of illness or approved leaves of absence) to the business and affairs of the Company and shall use his best efforts to advance their respective best interests.",duties
"Duties. During the Term of Employment, the Employee (a) shall serve as an employee of the Company with the title of Corporate Executive Vice President, reporting to the Chief Executive Officer of the Company, and shall perform such duties and have such responsibilities and shall have such additional or alternative duties as may be reasonably determined by the Chief Executive Officer of the Company, consistent with the general area of the Employee's experience and skills; (b) upon the request of the Chief Executive Officer of the Company, shall serve as an officer and/or director of the Company's subsidiaries; and (c) shall render all services reasonably incident to the foregoing. The Employee hereby accepts such employment, agrees to serve the Company in the capacities indicated, and agrees to use his best efforts in, and shall devote his full working time, attention, skill and energies to, the advancement of the interests of the Company and its subsidiaries and the performance of his duties and responsibilities hereunder.",duties
"Duties. The Executive shall have such authority and responsibilities and shall perform such executive duties customarily performed by a similarly titled executive of a company in similar lines of business as the Company, its subsidiaries and its affiliates or as may be assigned to the Executive by the Chief Executive Officer of the Company (the “CEO”). The Executive shall devote all of the Executive’s full working-time and best efforts to the performance of such duties and to the promotion of the business and interests of the Company, its subsidiaries and its affiliates. Notwithstanding the foregoing, during the Term, subject to disclosure to, and approval by, the Board of Directors of the Company (the “Board”) or the CEO, the Executive may (a) continue to serve on any boards of directors upon which the Executive serves as of the Effective Date, and (b) serve on other corporate, industry, civic or charitable boards and committees, provided that with respect to (a) and (b), (x) such activities, in the Board’s or CEO’s discretion, do not materially interfere with and are not inconsistent with the Executive’s performance of the Executive’s duties under this Agreement and (y) any such entity does not engage in the “Business” (as defined below).",duties
"Duties. Employee shall serve as the Creative and Design Chief of the Corporation and shall properly perform such duties as may be assigned to him from time to time by the Chief Executive Officer of the Corporation, including (i) managing the design and creative function of the Corporation, (ii) recommending the hiring of and managing designers and creative personnel, including artists for shoes, apparel, accessories and other products, (iii) coordinating the artistic and promotional aspects of the Corporation’s business and (iv) representing the Corporation in the fashion industry. During the Term (as hereinafter defined) of this Agreement, Employee shall devote substantially all of his business time and efforts to the performance of his duties hereunder unless otherwise authorized by the Board of Directors of the Corporation (the “Board of Directors”). Employee shall not engage in any other significant business activity that would detract from his ability to perform services to the Corporation",duties
"Duties. During the Term of Employment, the Employee shall perform those functions generally performed by persons of such title and position and such duties as may be assigned to him from time to time by the President and Chief Executive Officer of Employer (the ""CEO""), and shall at all times be subject to the direction and control of the CEO. During the Term of Employment, Employee shall serve the Employer faithfully and to the best of his abilities and shall devote substantially all of his business time and efforts to Employer and its subsidiaries and affiliates. Employee shall give the CEO periodic reports and shall keep the CEO informed on a current basis concerning the duties assigned to Employee. Other than for customary and reasonable business travel, Employee shall not be required to perform his duties outside of a 60 mile radius of Washington, D.C.",duties
"Duties. Employee shall serve OBL as Executive Vice President of Sales and Marketing and shall perform such services for OBL as are consistent with said position. Employee shall report directly to OBL's President. Employee shall devote his full time, energy, technical knowledge, know-how and skill during regular business hours to OBL's affairs and to the promotion of its interests in a manner consistent with the highest standards customarily applicable to persons occupying similar positions. Without the prior written consent of the Board of Directors of OBL, Employee shall not engage in any other business or accept any other employment during the term of this Agreement.",duties
"Duties. Agent shall not have any duties except those expressly set forth in the Loan Documents. The conferral upon Agent of any right shall not imply a duty on Agent’s part to exercise such right, unless instructed to do so by Required Lenders in accordance with this Agreement.",duties
"Duties. On or before the initial Advance Date, and until its removal pursuant to Section 10.05, the Collateral Agent shall perform, on behalf of the Secured Parties, the following duties and obligations:",duties
"Duties. During the Term, Employee agrees to serve the Company, and Employee will faithfully and to the best of his ability discharge the duties associated with his position and will devote his full time during business hours for the Company and to the business and affairs of the Company, its direct and indirect subsidiaries and its affiliates. Employee hereby confirms that during the Term, he will not render or perform services for any other corporation, firm, entity or person. Employee recognizes that he will be required to travel to perform certain of his duties. Employee shall report to, and be subject to the direction of, the Company’s President, or if determined by the Board of Directors (the “Board”), the Board or the Chief Executive Officer. Notwithstanding the foregoing, Employee shall be permitted to participate in, and be involved with, such community, educational, charitable, professional, and religious organizations so long as such participation does not, in the judgment of the Board interfere with the performance of or create a potential conflict with Employee’s duties hereunder.",duties
"Duties. During the Term, the Company and the Executive agree that the Executive shall have all responsibilities and authorities and perform such duties that are usually incident to his positions with the Company as provided in the Company’s Certificate of Incorporation, By-Laws, and written policies together with such other duties and responsibilities as may be assigned to his from time to time by the Chief Executive Officer of the Company. During his employment hereunder, the Executive shall devote his entire time, energy, and skill during regular business hours (other than during periods of illness, vacation, and other approved absences) to the Company and its Affiliates, and the Executive shall render his services solely and exclusively for the Company and its Affiliates, provided that (i) exceptions to such exclusivity in effect on the date hereof shall continue in effect, subject to the discretion of the Board of Directors (the “Board”) to withdraw such exception if such exception involves a conflict of interest or materially interferes with the Executive’s ability to perform his duties, (ii) the Board shall grant additional exceptions to such exclusivity upon request unless such exceptions involve a conflict of interest or materially interfere with the Executive’s ability to perform his duties with the Company, and (iii) the Executive shall be permitted to serve on one public company board of directors, subject to the approval of the Board in its sole discretion. For purposes of this Agreement, “Affiliate” means a company that would be considered a single employer together with the Company under Sections 414(b) or 414(c) of the Internal Revenue Code (the “Code”).",duties
"Duties. During the Executive’s employment with the Company, the Executive shall devote substantially all of his business time and attention to the performance of the Executive’s duties hereunder and will not engage in any other business, profession or occupation for compensation or otherwise which would conflict or interfere with the performance of such services either directly or indirectly without the prior written consent of the Board. Notwithstanding the foregoing, the Executive will be permitted to (a) with the prior written consent of the Board (which consent will not be unreasonably withheld, conditioned or delayed), act or serve as a director, trustee, committee member or principal of any type of business, civic or charitable organization, and (b) purchase or own less than five percent (5%) of the publicly traded securities of any publicly traded entity; provided, that, such ownership represents a passive investment and that the Executive is not a controlling person of, or a member of a group that controls, such entity; provided further, that, the activities described in clauses (a) and (b) do not materially interfere with the performance of the Executive’s duties and responsibilities to the Company as provided hereunder, including, but not limited to, the obligations set forth in this Section 2, or otherwise violate the provisions of this Agreement.",duties
"Duties. The Executive shall serve under the direction of the Employer’s President and Chief Executive Officer and in accordance with the Employer’s Articles of Incorporation and Bylaws, as the Articles of Incorporation and Bylaws may be amended or restated from time to time. The Executive shall report directly to the President and Chief Executive Officer. The Executive shall serve the Employer faithfully, diligently, competently, and to the best of the Executive’s ability. The Executive shall exclusively devote full time, energy, and attention to the business of the Employer and to the promotion of the Employer’s interests throughout the term of this Agreement. Without the written consent of the board of directors of each of the Corporation and the Bank, the Executive shall not render services to or for any person, firm, corporation, or other entity or organization in exchange for compensation, regardless of the form in which such compensation is paid and regardless of whether it is paid directly or indirectly to the Executive. Nothing in this Article 2 shall prevent the Executive from managing personal investments and affairs, provided that doing so does not interfere with the proper performance of the Executive’s duties and responsibilities under this Agreement.",duties
"Duties. Employee agrees to use his best efforts, skills, and abilities to perform faithfully all duties consistent with his position (or any other position of a similar nature) assigned to him from time to time by the Company in accordance with all Company policies and procedures, and shall not to become involved in any personal investment or business matters which may adversely affect the Company or any present or future parent, subsidiary, or affiliate of the Company. In the performance of his duties, Employee shall be subject to the direction of the Board of Directors and the Chief Executive Officer of the Company.",duties
"Duties. The Company requires that the Director be available to perform the duties of an independent director customarily related to this function as may be determined and assigned by the Board of Directors of the Company and as may be required by the Company’s constituent instruments, including its certificate or articles of incorporation, bylaws and its corporate governance and board committee charters, each as amended or modified from time to time, and by applicable law, including the Nevada General Corporation Law. The Director agrees to devote as much time as is necessary to perform completely the duties as the Director of the Company, including duties as a member of the Audit Committee and such other committees as the Director may hereafter be appointed to. The Director will perform such duties described herein in accordance with the general fiduciary duty of directors arising under the Nevada General Corporation Law and Chapter 78 of the Nevada Revised Statutes.",duties
"Duties. Nothing in this Agreement shall be deemed to create a partnership, joint venture or agency relationship between the parties. The Underwriters undertake to perform such duties and obligations only as expressly set forth herein. Such duties and obligations of the Underwriters with respect to the Shares shall be determined solely by the express provisions of this Agreement, and the Underwriters shall not be liable except for the performance of such duties and obligations with respect to the Shares as are specifically set forth in this Agreement. The Company acknowledges and agrees that: (i) the purchase and sale of the Shares pursuant to this Agreement, including the determination of the public offering price of the Shares and any related discounts and commissions, is an arm’s-length commercial transaction between the Company, on the one hand, and the several Underwriters, on the other hand, and the Company is capable of evaluating and understanding and understands and accepts the terms, risks and conditions of the transactions contemplated by this Agreement; (ii) in connection with each transaction contemplated hereby and the process leading to such transaction each Underwriter is and has been acting solely as a principal and is not the financial advisor, agent or fiduciary of the Company or its affiliates, stockholders, creditors or employees or any other party; (iii) no Underwriter has assumed or will assume an advisory, agency or fiduciary responsibility in favor of the Company with respect to any of the transactions contemplated hereby or the process leading thereto (irrespective of whether such Underwriter has advised or is currently advising the Company on other matters); and (iv) the several Underwriters and their respective affiliates may be engaged in a broad range of transactions that involve interests that differ from those of the Company and that the several Underwriters have no obligation to disclose any of such interests. The Company acknowledges that the Underwriters disclaim any implied duties (including any fiduciary duty), covenants or obligations arising from the Underwriters’ performance of the duties and obligations expressly set forth herein. The Company hereby waives and releases, to the fullest extent permitted by law, any claims that the Company may have against the several Underwriters with respect to any breach or alleged breach of agency or fiduciary duty.",duties
"Duties. (a) The Company hereby agrees to employ Executive as its President, reporting to the Company’s Chief Executive Officer. Executive agrees that he will perform all lawful duties assigned to him by the Company, and will serve with no additional compensation in any other office or position of the Company and its Affiliates (as defined below) as reasonably determined by the Company’s Chief Executive Officer or the Company’s Board of Directors (the “Board”). Executive agrees that he will devote his full attention, time, and effort to the business and affairs of the Company and its Affiliates and that he makes a full commitment to the business and affairs of the Company and its Affiliates except as described in subsection 2(c) below. Executive further agrees that he will use his reasonable best efforts to promote the interests of the Company and its Affiliates. Executive shall continue to serve as a member of the Board as of the Effective Date. The Company shall nominate Executive as a director for stockholder approval at each annual meeting during the term of Executive’s employment with the Company in which his term as a director is due to expire.",duties
"Duties. During the Term, the Executive shall be employed by the Company as Executive Vice President and Chief Financial Officer of the Company, and, as such, the Executive shall faithfully perform for the Company the duties of such office and shall have such responsibilities and authority as are customary for an Executive Vice President and Chief Financial Officer employed by a public company of similar size and nature and shall report directly to the Chief Executive Officer of the Company (the “CEO”). The Executive shall devote substantially all of the Executive’s business time and effort to the performance of the Executive’s duties hereunder; provided, however, that the Executive shall be permitted to continue service as set forth in Exhibit A and, subject to the approval of the Board of Directors of the Company (the “Board”), the Executive may serve on the board of directors or trustees of any business corporation or charitable organization and such service shall not be a violation of this Agreement, provided that such other activities do not materially interfere with the performance of the Executive’s duties hereunder.",duties
"Duties. During the period of employment as provided in Paragraph 1(b) hereof, the Executive shall serve as Chairman and Chief Executive Officer of the Corporation and have all powers and duties consistent with such position, subject to the reasonable direction of the Board. The Executive shall also continue to serve as a member of the Board if elected as such. The Executive shall devote substantially his entire time during reasonable business hours (reasonable sick leave and vacations excepted) and best efforts to fulfill faithfully, responsibly and to the best of his ability his duties hereunder. However, the Executive may, with the approval of the Board, which shall not be withheld unreasonably, serve on corporate, civic and/or charitable boards and committees.",duties
