clause_text,clause_type
Effect of Headings. The Section headings herein are for convenience only and shall not affect the construction hereof.,effect-of-headings
Effect of Headings. The section headings herein are for convenience only and are not part of this Agreement and shall not affect the interpretation thereof.,effect-of-headings
Effect of Headings. The Article and Section headings herein and the Table of Contents are for convenience only and shall not affect the construction hereof.,effect-of-headings
Effect of Headings. The Section headings herein are for convenience only and shall not effect the construction thereof.,effect-of-headings
Effect of Headings. The section headings herein are for convenience only and shall not affect the construction or interpretation of this Agreement.,effect-of-headings
Effect of Headings. The section and exhibit headings herein are for convenience only and shall not affect the construction hereof.,effect-of-headings
"Effect of Headings. The subject headings of the paragraphs and subparagraphs of this Agreement are included for purposes of convenience only, and shall not affect the construction or interpretation of any of its provisions.",effect-of-headings
"Effect of Headings. The Section headings of this Supplemental Indenture have been inserted for convenience of reference only, are not intended to be considered a part hereof and shall not modify or restrict any of the terms or provisions here.",effect-of-headings
Effect of Headings. The Section headings herein are for convenience only and shall not effect the construction of this Supplemental Indenture.,effect-of-headings
"Effect of Headings. The Section headings herein are for convenience of reference only, and are not to be considered part of this Supplemental Indenture and shall in no way modify or restrict any of the terms or provisions.",effect-of-headings
"Effect of Headings. The Article and Section headings herein and the Table of Contents are for convenience only and shall not affect the construction hereof. If the foregoing is in accordance with your understanding of our agreement, please sign and return to each of Dura and SDC II a counterpart hereof, whereupon this instrument, along with all counterparts, will become a binding agreement among the U.S. Underwriters, Dura and SDC II in accordance with its terms. Very truly yours, DURA PHARMACEUTICALS, INC. By: __________________________ Title: SPIROS DEVELOPMENT CORPORATION II, INC. By: __________________________ Title: CONFIRMED AND ACCEPTED, as of the date first above written: MERRILL LYNCH & CO. MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED DONALDSON, LUFKIN & JENRETTE SECURITIES CORPORATION By: MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED By: ______________________________ Authorized Signatory For themselves and as U.S. Representatives of the other U.S. Underwriters named in Schedule A hereto. SCHEDULE A Name of U.S. Underwriter Number of ------------------------ Initial U.S. Units ----- Merrill Lynch, Pierce, Fenner & Smith Incorporated............................................... Donaldson, Lufkin & Jenrette Securities Corporation.......... ----------- Total.................................................. ----------- ----------- Sch A - 1 SCHEDULE B SPIROS DEVELOPMENT CORPORATION II, INC. DURA PHARMACEUTICALS, INC.",effect-of-headings
"Effect of Headings. The Section headings herein are for convenience only and shall not affect the construction hereof. If the foregoing is in accordance with your understanding of our agreement, please sign and return to the Company and the Selling Shareholder a counterpart hereof, whereupon this instrument, along with all counterparts, will become a binding agreement among the Underwriters, the Company and the Selling Shareholder in accordance with its terms. Very truly yours, RCS CAPITAL CORPORATION By: /s/ William M. Kahane Name: William M. Kahane Title: Chief Executive Officer RCAP HOLDINGS, LLC By: /s/ Nicholas S. Schorsch Name: Nicholas S. Schorsch Title: Managing Member CONFIRMED AND ACCEPTED, as of the date first above written: MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED BARCLAYS CAPITAL INC. By: MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED By: /s/ Kaivan Shakib Name: Kaivan Shakib Title: Managing Director By: BARCLAYS CAPITAL INC. By: /s/ Victoria Hale Name: Victoria Hale Title: Vice President For themselves and as Representatives of the other Underwriters named in Schedule A hereto. The initial public offering price per share for the Securities shall be $20.25. The purchase price per share for the Securities to be paid by the several Underwriters shall be $19.035, being an amount equal to the initial public offering price set forth above less $1.215 per share, subject to adjustment in accordance with Section 2(b) for dividends or distributions declared by the Company and payable on the Initial Securities but not payable on the Option Securities. Name of Underwriter Number of Initial Securities Merrill Lynch, Pierce, Fenner & Smith Incorporated 6,490,417 Barclays Capital Inc. 6,490,417 Citigroup Global Markets Inc. 1,570,417 JMP Securities LLC 1,570,417 J.P. Morgan Securities LLC 1,570,417 Ladenburg Thalmann & Co. Inc. 1,570,417 BMO Capital Markets Corp. 1,210,417 Realty Capital Securities, LLC 1,210,417 Aegis Capital Corp 277,083 J.P. Turner & Company, LLC 277,083 Maxim Group LLC 277,083 National Securities Corporation 277,083 Newbridge Securities Corporation 100,000 Northland Securities, Inc. 277,083 RBS Securities Inc. 277,083 Robert W. Baird & Co. Incorporated 277,083 Mitsubishi UFJ Securities (USA), Inc. 277,083 Total 24,000,000 RCS Capital Corporation 19,000,000 3,600,000 RCAP Holdings, LLC 5,000,000 0 Total 24,000,000 3,600,000",effect-of-headings
Effect of Headings. The headings in this Agreement are for purposes of reference only and shall not limit or otherwise affect the meaning hereof.,effect-of-headings
