clause_text,clause_type
"Effect of Termination. Notwithstanding any termination of this Agreement, the Fund and the Underwriter shall at the option of the Company, continue to make available additional shares of the Fund pursuant to the terms and conditions of this Agreement, for all Contracts in effect on the effective date of termination of this Agreement (hereinafter referred to as ""Existing Contracts""). Specifically, without limitation, the owners of the Existing Contracts shall be permitted to reallocate investments in the Fund, redeem investments in the Fund and/or invest in the Fund upon the making of additional purchase payments under the Existing Contracts. The parties agree that this Section 10.2 shall not apply to any terminations under Article VII and the effect of such Article VII terminations shall be governed by Article VII of this Agreement.",effect-of-termination
"Effect of Termination. Upon any expiration of the Term or termination of this Agreement, the obligations and rights of the parties hereto shall cease, provided that such expiration or termination of this Agreement shall not relieve the parties of any obligation or breach of this Agreement accruing prior to such expiration or termination, including, without limitation, all accrued payment obligations arising under Article 6. In addition, Article 5, Article 7, Section 2.12, Section 4.5, and this Section 4.6 shall survive the expiration or termination of this Agreement. For the avoidance of doubt, the rights of Registry Operator to operate the registry for the TLD shall immediately cease upon any expiration of the Term or termination of this Agreement.",effect-of-termination
"Effect of Termination. Each party's right of termination under Section 9.1 is in addition to any other rights it may have under this Agreement or otherwise, and the exercise of a right of termination will not be an election of remedies. If this Agreement is terminated pursuant to Section 9.1, all further obligations of the parties under this Agreement will terminate, except that the obligations in Sections 11.1 and 11.3 will survive; provided, however, that if this Agreement is terminated by a party because of the Breach of the Agreement by the other party or because one or more of the conditions to the terminating party's obligations under this Agreement is not satisfied as a result of the other party's failure to comply with its obligations under this Agreement, the terminating party's right to pursue all legal remedies will survive such termination unimpaired.",effect-of-termination
"Effect of Termination. In the event of the termination and abandonment of this Agreement pursuant to Section 6.1, this Agreement shall forthwith become void and have no effect, without any liability on the part of any party hereto or its affiliates, directors, officers or stockholders, other than the provisions of this Section 6.2 and Sections 4.7(c) and 6.3 hereof. Nothing contained in this Section 6.2 shall relieve any party from liability for any breach of this Agreement.",effect-of-termination
"Effect of Termination. In the event of termination of this Agreement by either the Company or Parent as provided in Section 8.01, this Agreement shall forthwith become void and have no effect, without any liability or obligation on the part of Parent, Sub or the Company, other than Section 3.20, Section 4.11, the last sentence of Section 6.02, Section 6.07, this Section 8.02 and Article IX, which provisions shall survive such termination, and except to the extent that such termination results from the willful and material breach by a party of any representation, warranty or covenant set forth in this Agreement.",effect-of-termination
"Effect of Termination. If this Agreement is terminated pursuant to Section 11.01, this Agreement shall become void and of no effect without liability of any party (or any stockholder, director, officer, employee, agent, consultant or representative of such party) to the other party hereto (except as provided in Section 12.04(b)); provided that, if such termination shall result from the (i) failure of either party to fulfill a condition to the performance of the obligations of the other party, (ii) failure of either party to perform a covenant hereof or (iii) willful or reckless breach by any party of any representation or warranty contained herein, such party shall be fully liable for any and all liabilities and damages incurred or suffered by the other party as a result of such failure. The provisions of this Section 11.02 and Article 12 (other than Section 12.12) shall survive any termination hereof pursuant to Section 11.01.",effect-of-termination
"Effect of Termination. In the event of termination of this Agreement as provided in Section 7.1, this Agreement shall forthwith become void and there shall be no liability or obligation on the part of Acquiror, Merger Sub or Target or their respective officers, directors, stockholders or affiliates, except to the extent that such termination results from the breach by a party hereto of any of its representations, warranties or covenants set forth in this Agreement; provided that, the provisions of Section 5.4 (Confidentiality), Section 7.3 (Expenses and Termination Fees) and this Section 7.2 shall remain in full force and effect and survive any termination of this Agreement.",effect-of-termination
"Effect of Termination. In the event of termination of this Agreement --------------------- as provided in Section 8.1, this Agreement shall forthwith become void and there shall be no liability or obligation on the part of Parent, Sub or the Company, or their respective officers, directors or shareholders, provided that each party shall remain liable for any breaches of this Agreement prior to its termination; provided further that, the provisions of Sections 5.4 and 5.5 and Article IX of this Agreement shall remain in full force and effect and survive any termination of this Agreement.",effect-of-termination
"Effect of Termination. If any Party terminates this Agreement pursuant to Section 9(a) above, all obligations of the Parties hereunder shall terminate without any Liability of any Party to any other Party (except for any Liability of any Party then in breach).",effect-of-termination
"Effect of Termination. In the event of the termination of this Agreement in accordance with this Article, this Agreement shall forthwith become void and there shall be no liability on the part of any party hereto except:",effect-of-termination
