clause_text,clause_type
"Effective Date. This agreement shall be effective upon its execution, and unless terminated as provided, shall continue in force until May 31, 2006 and thereafter from year to year, provided continuance is approved annually by the vote of a majority of the Board members of the Issuer, and by the vote of those Board members of the Issuer who are not ""interested persons"" of the Issuer and, if a plan under Rule 12b-1 under the Investment Company Act of 1940 is in effect, by the vote of those Board members of the Issuer who are not ""interested persons"" of the Issuer and who are not parties to the Distribution and Service Plan or this Agreement and have no financial interest in the operation of the Distribution and Service Plan or in any agreements related to the Distribution and Service Plan, cast in person at a meeting called for the purpose of voting on the approval. This Agreement shall automatically terminate in the event of its assignment. As used in this paragraph, the terms ""assignment"" and ""interested persons"" shall have the respective meanings specified in the Investment Company Act of 1940 as now in effect or as hereafter amended. In addition to termination by failure to approve continuance or by assignment, this Agreement may at any time be terminated by either party upon not less than sixty days' prior written notice to the other party.",effective-date
Effective Date. The obligations of the Lenders to make Loans and of the Issuing Bank to issue Letters of Credit hereunder shall not become effective until the date on which each of the following conditions is satisfied (or waived in accordance with Section 9.02):,effective-date
Effective Date. This Certificate of Trust shall be effective upon filing.,effective-date
Effective Date. This Agreement shall become effective on the Effective Date at the time the Registration Statement is declared effective by the Commission.,effective-date
Effective Date. This Agreement shall become effective when both the Company and the Representative have executed the same and delivered counterparts of such signatures to the other party.,effective-date
Effective Date. The obligations of the Lenders to make Loans hereunder shall not become effective until the date on which each of the following conditions is satisfied (or waived in accordance with Section 9.02):,effective-date
Effective Date. The effective date (“Effective Date”) of this Agreement shall be the date that this Agreement is approved by the California Competes Tax Credit Committee (“Committee”).,effective-date
Effective Date. This Certificate of Trust shall be effective upon its filing with the Secretary of State of the State of Delaware.,effective-date
Effective Date. The provisions of this Agreement shall be construed and shall be given effect in all respects as if it had been executed and delivered by the Company on the date hereof. This Agreement shall be binding upon any successors or assigns of the Company.,effective-date
"Effective Date. This Agreement shall become effective at 10:00 a.m., New York City time, on the next full business day following the date hereof, or at such earlier time after the Registration Statement becomes effective as the Representative, in its discretion, shall release the Securities for sale to the public; provided, however, that the provisions of Sections 5, 7 and 10 of this Agreement shall at all times be effective. For purposes of this Section 9, the Securities to be purchased hereunder shall be deemed to have been so released upon the earlier of dispatch by the Representative of telegrams to securities dealers releasing such securities for offering or the release by the Representative for publication of the first newspaper advertisement which is subsequently published relating to the Securities.",effective-date
"Effective Date. This Agreement shall be effective upon its execution, and, unless terminated as provided, shall continue in force for two years from the date hereof, and thereafter from year to year, provided that such annual continuance is approved by (i) either the vote of a majority of the Trustees of the Trust, or the vote of a majority of the outstanding voting securities of the Trust, and (ii) the vote of a majority of those Trustees of the Trust who are not parties to this Agreement or the Trust’s distribution plan or interested persons of any such party (“Qualified Trustees”), cast in person at a meeting called for the purpose of voting on the approval. This Agreement may be terminated at any time without penalty by a vote of the directors; by vote of a majority of the outstanding voting securities of the Company; or by the Distributor upon not less than sixty days prior written notice to the other party; and shall automatically terminate upon its assignment. As used in this paragraph the terms “vote of a majority of the outstanding voting securities,” “assignment” and “interested person” shall have the respective meanings specified in the 1940 Act. In addition, this Agreement may at any time be terminated without penalty by the Trust, by a vote of a majority of Qualified Trustees or by vote of a majority of the outstanding voting securities of the Trust upon not less than sixty days prior written notice to the other party.",effective-date
"Effective Date. This Agreement shall become effective with respect to a Portfolio as of the date first written above (or, if a particular Portfolio is not in existence on that date, on the date such Portfolio commences operation) (the ""Effective Date"").",effective-date
"Effective Date. The effective date of this Assignment Agreement (the ""Effective Date"") shall be the later of the date specified in Item 5 of Schedule 1 or two Business Days (or such shorter period agreed to by the Agent) after a Notice of Assignment substantially in the form of Exhibit ""I"" attached hereto has been delivered to the Agent. Such Notice of Assignment must include any consents required to be delivered to the Agent by Section 12.3.1 of the Credit Agreement. In no event will the Effective Date occur if the payments required to be made by the Assignee to the Assignor on the Effective Date under Sections 4 and 5 hereof are not made on the proposed Effective Date. The Assignor will notify the Assignee of the proposed Effective Date no later than the Business Day prior to the proposed Effective Date. As of the Effective Date, (i) the Assignee shall have the rights and obligations of a Lender under the Loan Documents with respect to the rights and obligations assigned to the Assignee hereunder and (ii) the Assignor shall relinquish its rights and be released from its corresponding obligations under the Loan Documents with respect to the rights and obligations assigned to the Assignee hereunder.",effective-date
"Effective Date. This Agreement shall become effective as of the date first written above with respect to each Fund in existence on such date (or, if a particular Fund is not in existence on that date, on the date such Fund commences operation) (the “Effective Date”).",effective-date
Effective Date. This First Supplemental Indenture shall be effective as of the date first above written and upon the execution and delivery hereof by each of the parties hereto.,effective-date
"Effective Date. On the Effective Date, the Registration Statement did, and when the Prospectus is first filed in accordance with Rule 424(b) and on the Closing Date (as defined herein) and on any date on which Option Securities are purchased, if such date is not the Closing Date (a “settlement date”), the Prospectus (and any supplements thereto) will, comply in all material respects with the applicable requirements of the Act; on the Effective Date and at the Execution Time, the Registration Statement did not and will not contain any untrue statement of a material fact or omit to state any material fact required to be stated therein or necessary in order to make the statements therein not misleading; and on the date of any filing pursuant to Rule 424(b) and on the Closing Date and any settlement date, the Prospectus (together with any supplement thereto) will not include any untrue statement of a material fact or omit to state a material fact necessary in order to make the statements therein, in the light of the circumstances under which they were made, not misleading; provided, however, that the Company makes no representations or warranties as to the information contained in or omitted from the Registration Statement, or the Prospectus (or any supplement thereto) in reliance upon and in conformity with information furnished in writing to the Company by or on behalf of any Underwriter through the Representative specifically for inclusion in the Registration Statement or the Prospectus (or any supplement thereto), it being understood and agreed that the only such information furnished by any Underwriter consists of the information described as such in Section 8 hereof.",effective-date
Effective Date. This Amendment shall become effective as of the date first mentioned above.,effective-date
