clause_text,clause_type
Effectiveness. Any notice or other communication in respect of this Agreement may be given in any manner set forth below (except that a notice or other communication under Section 5 or 6 may not be given by facsimile transmission or electronic messaging system) to the address or number or in accordance with the electronic messaging system details provided (see the Schedule) and will be deemed effective as indicated:—,effectiveness
"Effectiveness. This Agreement shall be binding and deemed effective when executed by Borrower, Agent, and each Lender whose signature is provided for on the signature pages hereof.",effectiveness
Effectiveness. This Agreement shall become effective upon the execution of a counterpart hereof by each of the parties hereto and receipt by Company and Administrative Agent of written or telephonic notification of such execution and authorization of delivery thereof.,effectiveness
Effectiveness. This Agreement shall become effective upon the execution and delivery hereof by the parties hereto.,effectiveness
"Effectiveness. This Agreement shall become effective on the date (the “Effective Date”) on which the Borrower, the Administrative Agent and each of the Lenders shall have signed a counterpart hereof (whether the same or different counterparts) and shall have delivered the same to the Administrative Agent at the Notice Office or, in the case of the Lenders, shall have given to the Administrative Agent telephonic (confirmed in writing), written or telex notice (actually received) at such office that the same has been signed and mailed to it. The Administrative Agent will give the Borrower and each Lender prompt written notice of the occurrence of the Effective Date.",effectiveness
"Effectiveness. (i) The Company shall use commercially reasonable efforts to have each Registration Statement declared effective as soon as practicable. The Company shall notify the Investors by facsimile or e-mail as promptly as practicable, and in any event, within twenty-four (24) hours, after any Registration Statement is declared effective and shall simultaneously provide the Investors with copies of any related Prospectus to be used in connection with the sale or other disposition of the securities covered thereby. If (A)(x) a Registration Statement covering the Registrable Securities is not declared effective by the SEC prior to the earlier of (i) five (5) Business Days after the SEC shall have informed the Company that no review of such Registration Statement will be made or that the SEC has no further comments on the Registration Statement or (ii) the 90th day after the Closing Date (the 120th day if the SEC reviews such Registration Statement), or (y) a Shelf Registration Statement is not declared effective by the SEC prior to the earlier of (i) five (5) Business Days after the SEC shall have informed the Company that no review of the Registration Statement will be made or that the SEC has no further comments on the Registration Statement or (ii) the 90th day after the Qualification Deadline (the 120th day if the SEC reviews such Registration Statement), or (B) after a Registration Statement has been declared effective by the SEC, sales cannot be made pursuant to such Registration Statement for any reason (including without limitation by reason of a stop order, or the Company’s failure to update the Registration Statement), but excluding any Allowed Delay (as defined below) or the inability of any Investor to sell the Registrable Securities covered thereby due to market conditions, then the Company will make pro rata payments to each Investor, as liquidated damages and not as a penalty, in an amount equal to 1.5% of the aggregate amount invested by such Investor pursuant to the Subscription Agreement for each 30-day period or pro rata for any portion thereof following the date by which such Registration Statement should have been effective (the “Blackout Period”). Such payments shall constitute the Investors’ exclusive monetary remedy for such events, but shall not affect the right of the Investors to seek injunctive relief. The amounts payable as liquidated damages pursuant to this paragraph shall be paid monthly within three (3) Business Days of the last day o...",effectiveness
Effectiveness. This Agreement shall become effective on the date that each of the following conditions shall have been satisfied (or waived in accordance with Section 9.05):,effectiveness
Effectiveness. Section 5.01. A date 90 days after the date of this Loan Agreement is specified for the effectiveness of this Loan Agreement for the purposes of Section 10.04 of the Loan Regulations.,effectiveness
Effectiveness. The provisions of this First Supplemental Indenture shall become effective as of the date hereof.,effectiveness
"Effectiveness. (a) The Company and the Guarantors will be deemed not to have used their commercially reasonable efforts to cause the Exchange Offer Registration Statement or the Shelf Registration Statement, as the case may be, to become, or to remain, effective during the requisite period if the Company or any of the Guarantors voluntarily takes any action that would, or omits to take any action which omission would, result in any such Registration Statement not being declared effective or in the Holders of Registrable Securities covered thereby not being able to exchange or offer and sell such Registrable Securities during that period as and to the extent contemplated hereby, unless such action is required by applicable law.",effectiveness
Effectiveness. This Supplemental Indenture will become effective upon its execution and delivery.,effectiveness
"Effectiveness. (i) All communications described in clause (a) above and all other notices, demands, requests and other communications made in connection with this Agreement shall be effective and be deemed to have been received (i) if delivered by hand, upon personal delivery, (ii) if delivered by overnight courier service, one (1) Business Day after delivery to such courier service, (iii) if delivered by mail, three (3) Business Days after deposit in the mail, (iv) if delivered by facsimile (other than to post to an E-System pursuant to clause (a)(ii) or (a)(iii) above), upon sender’s receipt of confirmation of proper transmission, and (v) if delivered by posting to any E-System, on the later of the Business Day of such posting and the Business Day access to such posting is given to the recipient thereof in accordance with the standard procedures applicable to such E-System; provided, however, that no communications to Agent pursuant to Article I shall be effective until received by Agent.",effectiveness
"Effectiveness. This Credit Agreement shall become effective on the date on which all of the parties have signed a copy hereof (whether the same or different copies) and shall have delivered the same to the Administrative Agent pursuant to Section 9.2 or, in the case of the Lenders, shall have given to the Administrative Agent written, telecopied or telex notice (actually received) at such office that the same has been signed and mailed to it.",effectiveness
"Effectiveness. This Amendment shall be deemed effective as of the date first written above, as if executed on such date. Except as amended hereby, the Rights Agreement shall remain in full force and effect and shall be otherwise unaffected hereby.",effectiveness
"Effectiveness. Subject to the recording of an Assignment by Agent in the Register pursuant to subsection 1.4(b), (i) the assignee thereunder shall become a party hereto and, to the extent that rights and obligations under the Loan Documents have been assigned to such assignee pursuant to such Assignment, shall have the rights and obligations of a Lender, (ii) any applicable Note shall be transferred to such assignee through such entry and (iii) the assignor thereunder shall, to the extent that rights and obligations under this Agreement have been assigned by it pursuant to such Assignment, relinquish its rights (except for those surviving the termination of the Commitments and the payment in full of the Obligations) and be released from its obligations under the Loan Documents, other than those relating to events or circumstances occurring prior to such assignment (and, in the case of an Assignment covering all or the remaining portion of an assigning Lender’s rights and obligations under the Loan Documents, such Lender shall cease to be a party hereto).",effectiveness
"Effectiveness. Pursuant to Section 18-201 (d) of the Act, this Agreement shall be effective as of the time of the filing of the Certificate of Formation with the Office of the Delaware Secretary of State.",effectiveness
Effectiveness. Section 6.01. The following are specified as additional conditions to the effectiveness of this Loan Agreement for the purposes of Section 9.01(f) of the Loan Regulations:,effectiveness
Effectiveness. This Amendment shall become effective upon the satisfaction of all the following conditions precedent:,effectiveness
Effectiveness. This Amendment shall become effective as of the date hereof (the “Amendment Effective Date”) when the Administrative Agent shall have received from each of the Borrower and the Required Banks a counterpart hereof signed by such party or facsimile or other written confirmation (in form satisfactory to the Administrative Agent) that such party has signed a counterpart hereof.,effectiveness
"Effectiveness. (a) Except as provided below, any communication in connection with a Finance Document will be deemed to be given as follows:",effectiveness
"Effectiveness. This Supplemental Indenture shall be effective for all purposes as of the date and time this Supplemental Indenture has been executed and delivered by the Company and the Trustee in accordance with Article Nine of the Indenture. As supplemented hereby, the Indenture is hereby confirmed as being in full force and effect.",effectiveness
Effectiveness. This Agreement shall become effective when executed and delivered by the parties hereto. This Agreement shall be effective both before and after the commencement of any Insolvency or Liquidation Proceeding. All references to the Company or any other Grantor shall include the Company or any other Grantor as debtor and debtor-in-possession and any receiver or trustee for the Company or any other Grantor (as the case may be) in any Insolvency or Liquidation Proceeding.,effectiveness
