clause_text,clause_type
"Employee Benefits. During the Employment Term, Executive will be entitled to participate in the employee benefit plans currently and hereafter maintained by the Company of general applicability to other senior executives of the Company. The Company reserves the right to cancel or change the benefit plans and programs it offers to its employees at any time.",employee-benefits
"Employee Benefits. (i) The Company and each of its subsidiaries or their “ERISA Affiliates” (as defined below) are in compliance in all respects with all applicable provisions of the Employee Retirement Income Security Act of 1974, as amended, including the regulations and published interpretations thereunder (“ERISA”); (ii) no “reportable event” (as defined in ERISA) has occurred with respect to any “employee benefit plan” (as defined in ERISA) for which the Company or any of its subsidiaries or ERISA Affiliates has any liability, whether actual or contingent, excluding any reportable event for which the notice requirements have been waived; (iii) the Company and each of its subsidiaries or their ERISA Affiliates have not incurred and do not reasonably expect to incur liability under Title IV of ERISA, including with respect to termination of, or withdrawal from, any “employee benefit plan”; and (iv) each “employee benefit plan” maintained or contributed to by the Company and each of its subsidiaries that is intended to be qualified under Section 401(a) of the U.S. Internal Revenue Code of 1986, as amended, and the regulations and published interpretations thereunder (collectively the “Code”) is the subject of a favorable determination or opinion letter from the Internal Revenue Service to the effect that it is so qualified and, to the knowledge of the Company, nothing has occurred, whether by action or by failure to act, which would cause the loss of such qualification; except, in the cases of (i), (ii), and (iii), as would not reasonably be expected to have a Material Adverse Effect. “ERISA Affiliate” means, with respect to the Company or any of its subsidiaries, any member of any group of organizations described in Sections 414(b), (c) or (m) of the Code or Section 4001(b)(1) of ERISA of which the Company or such subsidiary is a member.",employee-benefits
"Employee Benefits. During the Employment Term, the Executive shall be entitled to participate in all employee benefit plans, practices and programs maintained by the Company, as in effect from time to time (collectively, “Employee Benefit Plans”), on a basis which is no less favorable than is provided to other similarly situated executives of the Company, to the extent consistent with applicable law and the terms of the applicable Employee Benefit Plans. The Company reserves the right to amend or cancel any Employee Benefit Plans at any time in its sole discretion, subject to the terms of such Employee Benefit Plan and applicable law.",employee-benefits
"Employee Benefits. (i) Section 3.1(m) of the Disclosure Letter sets forth a complete list of each and every pension, profit-sharing, savings, retirement, employment, consulting, severance pay, termination, executive compensation, incentive compensation, deferred compensation, bonus, stock purchase, stock option, phantom stock or other equity-based compensation, change-in-control, retention, salary continuation, vacation, sick leave, disability, death benefit, group insurance, hospitalization, medical, dental, life (including all individual life insurance policies as to which the Company or any Subsidiary is the owner, the beneficiary, or both), Code Section 125 “cafeteria” or “flexible” benefit, employee loan, educational assistance or fringe benefit plan, program, arrangement or agreement, whether written or oral, including, without limitation, any (i) “employee benefit plan” as defined in Section 3(3) of the Employee Retirement Income Security Act of 1974, as amended (“ERISA”) or (ii) other employee benefit plans, agreements, programs, policies, arrangements or payroll practices, whether or not subject to ERISA (including any funding mechanism therefor) under which any current or former officer, director, employee, leased employee, consultant or agent (or their respective beneficiaries) of the Company, any Subsidiary or any ERISA Affiliate has any present or future right to benefits or that is sponsored or maintained by the Company, any Subsidiary or any ERISA Affiliate or with respect to which the Company, any Subsidiary or any ERISA Affiliate has made or is required to make payments, transfers or contributions (an “Employee Benefit Plan”). For purposes of this Section 3.1(m), the term “ERISA Affiliate” means any trade or business (whether or not incorporated) that, together with the Company or any Subsidiary, is treated as a single employer under the provisions of Section 4001(b)(1) of ERISA or Section 414(b), (c), (m) or (o) of the Internal Revenue Code of 1986, as amended (the “Code”).",employee-benefits
"Employee Benefits. (a) With respect to any Plan or Foreign Pension Plan sponsored or maintained by Borrower or any Subsidiary, comply in all material respects with the applicable provisions of ERISA and the Code and the laws applicable to any Foreign Pension Plan and (b) furnish to the Administrative Agent as soon as possible after, and in any event within ten days after any responsible officer of Holdings, the Borrower or any ERISA Affiliate knows or has reason to know that, any ERISA Event has occurred that, alone or together with any other ERISA Event could reasonably be expected to result in a Material Adverse Effect, a statement of a Financial Officer of Holdings or the Borrower setting forth details as to such ERISA Event and the action, if any, that Holdings or the Borrower proposes to take with respect thereto.",employee-benefits
"Employee Benefits. (a) Each Plan is in compliance in all material respects with the applicable provisions of ERISA, the Code and other Federal or State law. Each Plan which is intended to qualify under Section 401(a) of the Code has received a favorable determination letter from the Internal Revenue Service and to the best of any Borrower’s or Guarantor’s knowledge, nothing has occurred which would cause the loss of such qualification. Each Borrower and its ERISA Affiliates have made all required contributions to any Plan subject to Section 412 of the Code, and no application for a funding waiver or an extension of any amortization period pursuant to Section 412 of the Code has been made with respect to any Plan.",employee-benefits
"Employee Benefits. (i) Section 2.2(v) of the Disclosure Schedule sets forth a correct and complete list of each “employee benefit plan” (within the meaning of Section 3(3) of the Employee Retirement Income Security Act of 1974, as amended (“ERISA”), including, without limitation, multiemployer plans within the meaning of Section 3(37) of ERISA), and all stock purchase, stock option, severance, employment, change-in-control, fringe benefit, bonus, incentive, deferred compensation and all other employee benefit plans, agreements, programs, policies or other arrangements, whether or not subject to ERISA (including any funding mechanism therefor now in effect or required in the future as a result of the transactions contemplated by this Agreement or otherwise), whether formal or informal, oral or written, under which (A) any current or former employee or director of the Company or any of the Company Subsidiaries (the “Company Employees”) has any present or future right to benefits and which are contributed to, sponsored by or maintained by the Company or any of the Company Subsidiaries or (B) the Company or any Company Subsidiary has had or has any present or future liability. All such plans, agreements, programs, policies and arrangements are collectively referred herein to as the “Benefit Plans.”",employee-benefits
"Employee Benefits. (a) Comply in all material respects with the applicable provisions of ERISA and the Code and (b) furnish to the Administrative Agent as soon as possible after, and in any event within 10 days after any Responsible Officer of the Borrower knows that, any ERISA Event has occurred that, alone or together with any other ERISA Events that have occurred, could reasonably be expected to result in liability of the Borrower and/or the Subsidiaries in an aggregate amount exceeding $5,000,000, a statement of a Financial Officer of the Borrower setting forth details as to such ERISA Event and the action, if any, that the Borrower proposes to take with respect thereto.",employee-benefits
"Employee Benefits. During the Term, the Executive shall be eligible to participate in such health, insurance, retirement, and other employee benefit plans and programs of the Company as in effect from time to time on the same basis as other senior executives of the Company.",employee-benefits
"Employee Benefits. None of Borrower, any of its Subsidiaries, or any of their ERISA Affiliates maintains or contributes to any Benefit Plan.",employee-benefits
"Employee Benefits. As a regular employee of the Company, you will be eligible to participate in a number of Company-sponsored benefits. In addition, you will be entitled to paid vacation in accordance with the Company’s vacation policy, as in effect from time to time.",employee-benefits
"Employee Benefits. During the Employment Term, Executive shall be entitled to participate in all employee benefit plans, practices and programs maintained by the Company and made available to employees generally, including, without limitation, all pension, retirement, profit sharing, savings, medical, hospitalization, disability, dental, life or travel accident insurance benefit plans, to the extent Executive is eligible under the terms of such plans. Executive’s participation in such plans, practices and programs shall be on the same basis and terms as are applicable to employees of the Company generally.",employee-benefits
"Employee Benefits. (a) For purposes of this Agreement, the following terms shall have the following meanings:",employee-benefits
"Employee Benefits. The Bank shall provide Executive with employee benefit plans, arrangements and perquisites substantially equivalent to those in which Executive was participating or from which he was deriving benefit immediately prior to the commencement of the term of this Agreement, and the Bank shall not, without Executive’s prior written consent, make any changes in such plans, arrangements or perquisites that would adversely affect Executive’s rights or benefits thereunder, except as to any changes that are applicable to all participating employees. Without limiting the generality of the foregoing provisions of this Section 3(c), Executive will be entitled to participate in and receive benefits under any employee benefit plans including, but not limited to, retirement plans, supplemental retirement plans, pension plans, profit-sharing plans, health-and-accident insurance plans, medical coverage or any other employee benefit plan or arrangement made available by the Bank and/or the Company in the future to its senior executives, including any stock benefit plans, subject to and on a basis consistent with the terms, conditions and overall administration of such plans and arrangements.",employee-benefits
"Employee Benefits. None of Borrower, any of its Subsidiaries, or any of their ERISA Affiliates maintains or contributes to any Benefit Plan, other than those listed on Schedule 5.13. Borrower, each of its Subsidiaries and each ERISA Affiliate have satisfied the minimum funding standards of ERISA and the IRC with respect to each Benefit Plan to which it is obligated to contribute. No ERISA Event has occurred nor has any other event occurred that may result in an ERISA Event that reasonably could be expected to result in a Material Adverse Change. None of Borrower or its Subsidiaries, any ERISA Affiliate, or any fiduciary of any Plan is subject to any direct or indirect liability with respect to any Plan under any applicable law, treaty, rule, regulation, or agreement. None of Borrower or its Subsidiaries or any ERISA Affiliate is required to provide security to any Plan under Section 401(a)(29) of the IRC.",employee-benefits
"Employee Benefits. During the Executive’s Employment, the Executive will be entitled to participate in the employee benefit plans of general applicability to other employees of the Company, as in effect from time to time, including, without limitation, the Company’s group medical, dental, vision, disability, life insurance, director and officer liability insurance and flexible-spending account plans. The Company reserves the right to cancel or change the benefit plans and programs it offers to its employees at any time.",employee-benefits
"Employee Benefits. (a) As used in this Section 3.13, the following terms have the meanings set forth below.",employee-benefits
"Employee Benefits. The Employee shall be eligible to participate in the employee benefit plans and executive compensation programs maintained by the Company applicable to other key executives of the Company, including (without limitation) retirement plans, savings or profit-sharing plans, stock option, incentive or other bonus plans, life, disability, health, accident and other insurance programs, paid vacations, and similar plans or programs, subject in each case to the generally applicable terms and conditions of the applicable plan or program in question and to the sole determination of the Board or any committee administering such plan or program.",employee-benefits
"Employee Benefits. (i) All material benefit and compensation plans, contracts (including employment and consulting contracts), policies or arrangements covering current or former employees, directors or other individual service providers of the Company and its Subsidiaries that are maintained, sponsored or administered by the Company or its Subsidiaries, under which the Company or its Subsidiaries is subject to continuing financial obligations or with respect to which the Company or its Subsidiaries could reasonably be expected to incur any liability, including, but not limited to, “employee benefit plans” within the meaning of Section 3(3) of the Employee Retirement Income Security Act of 1974, as amended (“ERISA”), and deferred compensation, severance, pension, retirement, bonus, health and welfare, stock option, stock purchase, stock appreciation rights, stock based, and incentive plans (whether or not material, the “Benefit Plans”) are listed on Section 5.1(h)(i) of the Company Disclosure Letter. True and complete copies of all Benefit Plans listed on Section 5.1(h)(i) of the Company Disclosure Letter and, as applicable, the most recent actuarial valuation and audit reports, and the IRS determination letter currently in effect have been made available to Parent.",employee-benefits
"Employee Benefits. (a) Schedule 4.15(a) sets forth a complete and correct list of (i) all ""employee benefit plans"", as defined in Section 3(3) ERISA, and any other pension plans or employee benefit arrangements, programs or payroll practices (including, without limitation, severance pay, vacation pay, company awards, salary continuation for disability, sick leave, retirement, deferred compensation, bonus or other incentive compensation, stock purchase arrangements or policies, hospitalization, medical insurance, life insurance and scholarship programs) maintained by the Purchaser or to which the Purchaser contributes or is obligated to contribute thereunder with respect to employees of the Purchaser (""Employee Benefit Plans"") and (ii) all ""employee pension plans"", as defined in Section 3(2) of ERISA, maintained by the Purchaser or any trade or business (whether or not incorporated) which are under control, or which are treated as a single employer, with Purchaser as an ERISA Affiliate or to which the Purchaser or any ERISA Affiliate contributed or is obligated to contribute thereunder (""Pension Plans""). Schedule 4.15(a) clearly identifies, in separate categories, Employee Benefit Plans or Pension Plans that are (i) subject to Section 4063 and 4064 of ERISA (""Multiple Employer Plans""), (ii) multiemployer plans (as defined in Section 4001(a)(3) of ERISA) (""Multiemployer Plans"") or (iii) ""benefit plans"", within the meaning of Section 5000(b)(1) of the Code providing continuing benefits after the termination of employment (other than as required by Section 4980B of the Code or Part 6 of Title I of ERISA and at the former employee's or his beneficiary's sole expense).",employee-benefits
"Employee Benefits. No Loan Party, none of their Subsidiaries, nor any of their ERISA Affiliates maintains or contributes to any Benefit Plan.",employee-benefits
"Employee Benefits. During the Employment Term, Executive shall be entitled to participate in the Company’s employee benefit plans as in effect from time to time (collectively “Employee Benefits”), on the same basis as those benefits are generally made available to other senior executives of the Company.",employee-benefits
"Employee Benefits. (a) From and after the Effective Time, Company Benefit Plans in effect as of the date of this Agreement shall remain in effect with respect to employees of the Company (or its Subsidiaries), covered by such plans at the Effective Time until such time as Parent shall, subject to applicable Law, the terms of this Agreement and the terms of such plans, either transfer employees and former employees of the Company and its Subsidiaries (“Transferred Employees”) to existing benefit plans of the Parent or Merger Sub or adopt new benefit plans with respect to such Transferred Employees (the “Transferred Employee Plans”). Prior to the Effective Time, Parent and the Company shall cooperate in reviewing, evaluating and analyzing Company Benefit Plans with a view towards determining appropriate Transferred Employee Plans. Parent will, and will cause its Subsidiaries to, with respect to all Transferred Employee Plans, (i) provide each employee of the Company or its Subsidiaries with service or other credit for all limitations as to preexisting conditions, exclusions and waiting periods with respect to participation and coverage requirements applicable to employees of the Company or its Subsidiaries under any Transferred Employee Plan that is a welfare plan that such employees may be eligible to participate in after the Effective Time, to the extent that such employee would receive credit for such conditions under the corresponding welfare plan in which any such employee participated immediately prior to the Effective Time, (ii) provide each employee of the Company or its Subsidiaries with credit for any co-payments and deductibles paid in satisfying any applicable deductible or out-of-pocket requirements under any Transferred Employee Plan that is a welfare plan that such employees are eligible to participate in after the Effective Time, to the extent that such employee would have received credit for such co-payment or deductible under the corresponding Company welfare plan in which the applicable employee participated immediately prior to the Effective Time, (iii) provide each employee with credit for all service for purposes of eligibility, vesting and benefit accruals (but not for benefit accruals under any defined benefit pension plan) with the Company and its Subsidiaries, under each employee benefit plan, program, or arrangement of Parent or its Subsidiaries in which such employees are eligible to participate after the Effective Time, and (iv) provide benefits un...",employee-benefits
