clause_text,clause_type
"Employees. Neither the Company nor any Subsidiary has any collective bargaining arrangements or agreements covering any of its employees, except as set forth on Schedule 2.1(x) hereto. Except as set forth on Schedule 2.1(x) hereto, neither the Company nor any Subsidiary has any employment contract, agreement regarding proprietary information, non-competition agreement, non-solicitation agreement, confidentiality agreement, or any other similar contract or restrictive covenant, relating to the right of any officer, employee or consultant to be employed or engaged by the Company or such Subsidiary required to be disclosed in the Commission Documents that is not so disclosed. No officer, consultant or key employee of the Company or any Subsidiary whose termination, either individually or in the aggregate, would be reasonably likely to have a Material Adverse Effect, has terminated or, to the knowledge of the Company, has any present intention of terminating his or her employment or engagement with the Company or any Subsidiary.",employees
"Employees. The Company has no collective bargaining agreements with any of its employees. There is no labor union organizing activity pending or, to the Company's knowledge, threatened with respect to the Company. Other than the Option Plans, the Company is not a party to or bound by any currently effective employment contract, deferred compensation arrangement, bonus plan, incentive plan, profit sharing plan, retirement agreement or other employee compensation plan or agreement, including any Employee Benefit Plan as defined in the Employee Retirement Income Security Act of 1974, except as set forth in SEC filings and any such plans, arrangements and agreements with non-executive officers. To the Company's knowledge, no employee of the Company, nor any consultant with whom the Company has contracted, is in violation of any term of any employment contract, proprietary information agreement or any other agreement relating to the right of any such individual to be employed by, or to contract with, the Company because of the nature of the business to be conducted by the Company; and to the Company's knowledge the continued employment by the Company of its present employees, and the performance of the Company's contracts with its independent contractors, will not result in any such violation. The Company has not received any notice alleging that any such violation has occurred. No executive officers of the Company have been granted the right to continued employment by the Company or to any material compensation following termination of employment with the Company except as set forth in SEC filings. The Company is not aware that any executive officer who intends to terminate his or her employment with the Company, nor does the Company have a present intention to terminate the employment of any executive officer.",employees
"Employees. Except as set forth on Schedule 4.14, neither the Company nor any of its Subsidiaries has any collective bargaining agreements with any of its employees. There is no labor union organizing activity pending or, to the Company's knowledge, threatened with respect to the Company or any of its Subsidiaries. Except as disclosed in the Exchange Act Filings or on Schedule 4.14, neither the Company nor any of its Subsidiaries is a party to or bound by any currently effective employment contract, deferred compensation arrangement, bonus plan, incentive plan, profit sharing plan, retirement agreement or other employee compensation plan or agreement. To the Company's knowledge, no employee of the Company or any of its Subsidiaries, nor any consultant with whom the Company or any of its Subsidiaries has contracted, is in violation of any term of any employment contract, proprietary information agreement or any other agreement relating to the right of any such individual to be employed by, or to contract with, the Company or any of its Subsidiaries because of the nature of the business to be conducted by the Company or any of its Subsidiaries; and to the Company's knowledge the continued employment by the Company or any of its Subsidiaries of its present employees, and the performance of the Company's and its Subsidiaries' contracts with its independent contractors, will not result in any such violation. Neither the Company nor any of its Subsidiaries is aware that any of its employees is obligated under any contract (including licenses, covenants or commitments of any nature) or other agreement, or subject to any judgment, decree or order of any court or administrative agency, that would interfere with their duties to the Company or any of its Subsidiaries. Neither the Company nor any of its Subsidiaries has received any notice alleging that any such violation has occurred. Except for employees who have a current effective employment agreement with the Company or any of its Subsidiaries, no employee of the Company or any of its Subsidiaries has been granted the right to continued employment by the Company or any of its Subsidiaries or to any material compensation following termination of employment with the Company or any of its Subsidiaries. Except as set forth on Schedule 4.14, the Company is not aware that any officer, key employee or group of employees intends to terminate his, her or their employment with the Company or any of its Subsidiaries, nor does the Compa...",employees
"Employees. (a) Part 3.20 of the Disclosure Letter contains a complete and accurate list of the following information for each employee or director of the Acquired Companies, including each employee on leave of absence or layoff status: employer; name; job title; current compensation paid or payable and any change in compensation since December 31, 1997; vacation accrued; and service credited for purposes of vesting and eligibility to participate under any Acquired Company's pension, retirement, profit-sharing, thrift-savings, deferred compensation, stock bonus, stock option, cash bonus, employee stock ownership (including investment credit or payroll stock ownership), severance pay, insurance, medical, welfare, or vacation plan, other Employee Pension Benefit Plan or Employee Welfare Benefit Plan, or any other employee benefit plan or any Director Plan.",employees
"Employees. All employees employed at the Hotel are the employees of the Existing Manager. There are, to Seller’s knowledge, no (i) unions organized at the Hotel, (ii) union organizing attempts, strikes, organized work stoppages or slow downs, or any other labor disputes pending or threatened with respect to any of the employees at the Hotel, or (iii) collective bargaining or other labor agreements to which Seller or the Existing Manager or the Hotel is bound with respect to any employees employed at the Hotel.",employees
"Employees. None of the employees of the Hotel shall become employees of Buyer, as of the Closing Date; instead, such employees shall become employees of the Manager. Seller shall not give notice under any applicable federal or state plant closing or similar act, including, if applicable, the Worker Adjustment and Retraining Notification Provisions of 29 U.S.C., Section 2102, the parties having agreed that a mass layoff, as that term is defined in 29 U.S.C., 2101(a)(3), will not have occurred. Any liability for payment of all wages, salaries and benefits, including, without limitation, accrued vacation pay, sick leave, bonuses, pension benefits, COBRA rights, and other benefits accrued or earned by and due to employees at the Hotel through the Cutoff Time, together with F.I.C.A., unemployment and other taxes and benefits due with respect to such employees for such period, shall be charged to Seller, in accordance with the Existing Management Agreement, for the purposes of the adjustments to be made as of the Cutoff Time. All liability for wages, salaries and benefits of the employees accruing in respect of and attributable to the period from and after Closing shall be charged to Buyer, in accordance with the New Management Agreement. To the extent applicable, all such allocations and charges shall be adjusted in accordance with the provisions of the Existing Management Agreement.",employees
"Employees. The Company has no collective bargaining agreements with any of its employees. There is no labor union organizing activity pending or, to the Company's knowledge, threatened with respect to the Company. No employee has any agreement or contract, written or verbal, regarding his employment. To the Company's knowledge, no employee of the Company, nor any consultant with whom the Company has contracted, is in violation of any term of any employment contract, proprietary information agreement or any other agreement relating to the right of any such individual to be employed by, or to contract with, the Company because of the nature of the business to be conducted by the Company; and to the Company's knowledge the continued employment by the Company of its present employees, and the performance of the Company's contracts with its independent contractors, will not result in any such violation. The Company has not received any notice alleging that any such violation has occurred. No employee of the Company has been granted the right to continued employment by the Company or to any material compensation following termination of employment with the Company. The Company is not aware that any officer or key employee, or that any group of key employees, intends to terminate his employment with the Company, nor does the Company have a present intention to terminate the employment of any officer, key employee or group of key employees.",employees
"Employees. Upon reasonable prior notice to Seller by Buyer, Buyer and its employees, representatives and agents shall have the right to communicate with Seller’s staff, and, subject to the approval of the Existing Manager, the Hotel staff and the Existing Manager’s staff, including without limitation the general manager, the director of sales, the engineering staff and other key management employees of the Hotel, at any time before Closing. Buyer shall not interfere with the operations of the Hotel while engaging in such communication in a manner that materially adversely affects the operation of any Property or the Existing Management Agreements.",employees
"Employees. Section 2(o) of the Disclosure Schedule sets forth a listing of the names, positions, job descriptions, salary or wage rates and all other forms of compensation paid for work at the Stations of each employee. To the Knowledge of the Seller, no key employee or group of employees has any plans to terminate employment with the Seller. The Seller is not a party to or bound by any collective bargaining or similar agreement, nor has it experienced any strikes, grievances, claims of unfair labor practices or other collective bargaining disputes. The Seller has no Knowledge of any organizational effort presently being made or threatened by or on behalf of any labor union with respect to the employees of the Seller. The Seller has no Knowledge of any Basis for any claim by past or current employees of the Seller or applicants for employment that the Seller or its management has discriminated based on each individuals race, sex, national origin, religion, ethnicity, handicap or any other protected characteristic under applicable law.",employees
"Employees. As of the Effective Date, neither the Company nor any Subsidiary of the Company has any collective bargaining arrangements or agreements covering any of its employees, except as set forth in the Commission Documents. As of the Effective Date, except as disclosed in the Registration Statement or the Commission Documents, no officer, consultant or key employee of the Company or any Subsidiary whose termination, either individually or in the aggregate, would reasonably be expected to have a Material Adverse Effect, has terminated or, to the knowledge of the Company, has any present intention of terminating his or her employment or engagement with the Company or any Subsidiary.",employees
