clause_text,clause_type
"Employment. The Company shall employ Executive, and Executive hereby accepts employment with the Company, upon the terms and conditions set forth in this Agreement for the period beginning on the date hereof and ending as provided in paragraph 4 hereof (the ""Employment Period"").",employment
"Employment. The Company hereby agrees to employ the Executive, and the Executive hereby agrees to serve the Company, on the terms and conditions set forth herein.",employment
"Employment. I agree and understand that nothing in this Agreement shall confer any right with respect to continuation of employment by the Company, nor shall it interfere in any way with my right or the Company's right to terminate my employment at any time, with or without cause.",employment
"Employment. The Employee is employed as the Senior Vice President and Chief Financial Officer of the Bank and the Corporation. The Employee shall render such administrative and management services for the Company as are currently rendered and as are currently performed by persons situated in a similar executive capacity. The Employee shall also promote, by entertainment or otherwise, as and to the extent permitted by law, the business of the Company. The Employee’s other duties shall be such as the boards of directors of the Bank or the Corporation may, from time to time, reasonably direct, including normal duties as an officer of the Bank and the Corporation.",employment
"Employment. The Employer shall employ the Executive, and the Executive shall serve the Employer, as President and Chief Executive Officer of the Bank and the Company upon the terms and conditions set forth herein. The Executive shall also serve on the Board of Directors of the Company and the Bank. The Executive shall have such authority and responsibilities consistent with his position as are set forth in the Company's or the Bank's Bylaws or assigned by the Company's or the Bank's Board of Directors (the ""Board"") from time to time. The Executive shall devote his full business time, attention, skill and efforts to the performance of his duties hereunder, except during periods of illness or periods of vacation and leaves of absence consistent with Bank policy. The Executive may devote reasonable periods to service as a director or advisor to other organizations, to charitable and community activities, and to managing his personal investments, provided that such activities do not materially interfere with the performance of his duties hereunder and are not in conflict or competitive with, or adverse to, the interests of the Company or the Bank.",employment
"Employment. The Employer hereby employs the Executive, and the Executive hereby accepts employment by the Employer, upon the terms and conditions set forth in this Agreement.",employment
"Employment. The Company hereby employs the Executive and the Executive hereby accepts employment with the Company, upon the terms and subject to the conditions set forth herein.",employment
"Employment. Subject to the terms and conditions set forth in this Agreement, the Company hereby offers and the Executive hereby accepts employment.",employment
Employment. The Company hereby employs Executive and Executive hereby accepts employment upon the terms and conditions hereinafter set forth.,employment
"Employment. The Company agrees to continue to employ the Executive, and the Executive hereby agrees to such continued employment, during the period and upon the terms and conditions set forth in this Agreement.",employment
"Employment. The Company hereby agrees to employ Executive, and Executive hereby accepts such employment and agrees to perform Executive’s duties and responsibilities, in accordance with the terms, conditions and provisions hereinafter set forth.",employment
"Employment. The Company hereby agrees to employ the Executive, and the Executive hereby accepts employment, during the Contract Period upon the terms and conditions set forth herein.",employment
"Employment. Company hereby employs Executive, and Executive hereby accepts such employment, upon the terms and conditions set forth herein.",employment
