clause_text,clause_type
"Entire Agreement; Amendment. This Agreement, together with the Plan, contains the entire agreement between the parties hereto with respect to the subject matter contained herein, and supersedes all prior agreements or prior understandings, whether written or oral, between the parties relating to such subject matter. The Committee shall have the right, in its sole discretion, to modify or amend this Agreement from time to time in accordance with and as provided in the Plan. This Agreement may also be modified or amended by a writing signed by both the Company and the Participant. The Company shall give written notice to the Participant of any such modification or amendment of this Agreement as soon as practicable after the adoption thereof.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the other documents delivered pursuant hereto at the Closing constitute the full and entire understanding and agreement between the parties with regard to the subjects hereof and thereof, and no party shall be liable or bound to any other party in any manner by any warranties, representations or covenants except as specifically set forth herein or therein. Except as expressly provided herein, neither this Agreement nor any term hereof may be amended, waived, discharged or terminated other than by a written instrument signed by the party against whom enforcement of any such amendment, waiver, discharge or termination is sought.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement constitutes the entire agreement between the parties with respect to the subject matter hereof and supersedes and merges all prior agreements or understandings, whether written or oral. This Agreement may not be amended, modified or revoked, in whole or in part, except by an agreement in writing signed by each of the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the other Loan Documents constitute the entire agreement between Borrower and Bank with respect to each credit subject hereto and supersede all prior negotiations, communications, discussions and correspondence concerning the subject matter hereof. This Agreement may be amended or modified only in writing signed by each party hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the Transaction Documents contain the entire understanding and agreement of the parties with respect to the matters covered hereby and, except as specifically set forth herein or in the other Transaction Documents, neither the Company nor any Purchaser make any representation, warranty, covenant or undertaking with respect to such matters, and they supersede all prior understandings and agreements with respect to said subject matter, all of which are merged herein. No provision of this Agreement may be waived or amended other than by a written instrument signed by the Company and the Purchasers holding at least a majority of the principal amount of the Notes then held by the Purchasers. Any amendment or waiver effected in accordance with this Section 7.3 shall be binding upon each Purchaser (and their permitted assigns) and the Company.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement states the entire agreement and understanding of the parties relating to the matters contained herein, superseding all prior contracts or agreements, whether oral or written. No amendment of the Agreement shall be made without the express written consent of the parties.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement contains the entire agreement between the parties hereto with respect to the subject matter contained herein, and supersedes all prior agreements or prior understandings, whether written or oral, between the parties relating to such subject matter. This Agreement may only be modified or amended by a writing signed by both the Company and the Participant.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement contains the entire understanding of the parties with respect to the matters covered hereby and, except as specifically set forth herein, neither the Company nor the Purchaser makes any representations, warranty, covenant or undertaking with respect to such matters. No provision of this Agreement may be waived or amended other than by a written instrument signed by the party against whom enforcement of any such amendment or waiver is sought.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement sets forth the complete, final and exclusive agreement and all the covenants, promises, agreements, warranties, representations, conditions and understandings between the Parties hereto and supersedes and terminates all prior agreements and understandings between the Parties. There are no covenants, promises, agreements, warranties, representations, conditions or understandings, either oral or written, between the Parties other than as are set forth herein and therein. No subsequent alteration, amendment, change or addition to this Agreement shall be binding upon the Parties unless reduced to writing and signed by an authorized officer of each Party.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, together with the documents expressly referred to herein, constitute the entire agreement among the parties hereto with respect to the subject matter contained herein and supersede all prior agreements and understandings among the parties with respect to such subject matter. This Agreement may not be modified, amended, altered or supplemented except by an agreement in writing executed by the party against whom such modification, amendment, alteration or supplement is sought to be enforced.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the other Transaction Documents constitute the full and entire understanding and agreement between the parties with regard to the subjects hereof and thereof. Any previous agreements among the parties relative to the specific subject matter hereof are superseded by this Agreement. Neither this Agreement nor any provision hereof may be amended, changed, waived, discharged or terminated other than by a written instrument signed by the party against who enforcement of any such amendment, change, waiver, discharge or termination is sought.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, together with the Schedules attached hereto, constitutes the entire agreement of the parties with respect to the subject matter hereof and supersedes any prior written or oral agreements pertaining to the subject matter of this Agreement. This Agreement may be amended at any time, but only by written agreement among the Subadviser, the Adviser and the Trust, which amendment, other than amendments to Schedules A, B, D, E and F, is subject to the approval of the Board (including those trustees who are not “interested persons” of the Trust) and, if required by the Act or applicable SEC rules and regulations, a vote of a majority of the Series’ outstanding voting securities; provided, however, that, notwithstanding the foregoing, this Agreement may be amended or terminated in accordance with any exemptive order issued to the Adviser, the Trust or its affiliates.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, including the other writings referred to herein or delivered pursuant hereto, constitutes the entire agreement among the parties hereto with respect to the transactions contemplated herein, and it supersedes all prior oral or written agreements, commitments or understandings with respect to the matters provided for herein. No amendment, modification or discharge of this Agreement shall be valid or binding unless set forth in writing and duly executed by the party against whom enforcement of the amendment, modification, or discharge is sought.",entire-agreement-amendment
Entire Agreement; Amendment. This Agreement constitutes the entire understanding and agreement of the parties hereto and supersedes any other oral or written agreements heretofore in effect between the parties with respect to the subject matter hereof. No provision of this Agreement may be amended or terminated except by a statement in writing signed by the party against which enforcement of the amendment or termination is sought.,entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement contains the entire understanding of the parties with respect to the matters covered hereby and, except as specifically set forth herein or in the Transaction Documents or the Certificate of Designation, neither the Company nor any of the Purchasers makes any representations, warranty, covenant or undertaking with respect to such matters and they supersede all prior understandings and agreements with respect to said subject matter, all of which are merged herein. No provision of this Agreement may be waived or amended other than by a written instrument signed by the Company and the holders of at least three-fourths (3/4) of the shares of Series D Convertible Preferred Stock then outstanding, and no provision hereof may be waived other than by an a written instrument signed by the party against whom enforcement of any such amendment or waiver is sought. No such amendment shall be effective to the extent that it applies to less than all of the holders of the Preferred Shares then outstanding. No consideration shall be offered or paid to any person to amend or consent to a waiver or modification of any provision of any of the Transaction Documents or the Certificate of Designation unless the same consideration is also offered to all of the parties to the Transaction Documents or holders of Preferred Shares, as the case may be.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement represents the entire understanding of the Primary Parties and the Agent with respect to the transactions contemplates hereby and supersedes any and all other oral or written agreements heretofore made, except for the Data Processing Records Management Engagement Terms, dated February 3, 2010 by and among the Primary Parties and Stifel, relating to the Stifel’s providing information agent services in connection with the Conversion. No waiver, amendment or other modification of this Agreement shall be effective unless in writing and signed by the parties hereto.",entire-agreement-amendment
Entire Agreement; Amendment. This Agreement together with the Exhibits attached hereto constitutes the full and complete agreement and understanding between the parties hereto concerning the subject matter hereof and shall supersede any and all prior written and oral agreements with regard to such subject matter. This Agreement may be modified or amended only by a written instrument executed by all of the parties hereto.,entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement embodies the entire agreement and understanding between NYSERDA and the Contractor and supersedes all prior agreements and understandings relating to the subject matter hereof. Except as otherwise expressly provided for herein, this Agreement may be changed, waived, discharged or terminated only by an instrument in writing, signed by the party against which enforcement of such change, waiver, discharge or termination is sought.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the Registered Offering Transaction Documents constitute the entire agreement among the parties hereto with respect to the subject matter hereof and thereof. There are no restrictions, promises, warranties or undertakings, other than those set forth or referred to herein and therein. This Agreement and the Registered Offering Transaction Documents supersede all prior agreements and understandings among the parties hereto with respect to the subject matter hereof and thereof. The provisions of this Agreement may be amended only with the written consent of the Company and Investor.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and its Exhibits, set forth the only agreements and understandings between the Parties hereto with respect to the subject matter hereof and thereof and supersede and terminate all prior agreements and understandings between the Parties with respect to the subject matter hereof and thereof. There are no other agreements or understandings with respect to the subject matter hereof, *** Portions of this page have been omitted pursuant to a request for Confidential Treatment and filed separately with the Commission. either oral or written, between the Parties. Except as expressly set forth in this Agreement, no subsequent amendment, modification or addition to this Agreement shall be binding upon the Parties hereto unless reduced to writing and signed by the respective authorized officers of the Parties.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement shall supersede any and all existing oral or written agreements, representations, or warranties between Executive and the Company or any of its subsidiaries or affiliated entities relating to the terms of Executive's employment by the Company. It may not be amended except by a written agreement signed by both parties.",entire-agreement-amendment
"Entire Agreement; Amendment. This instrument contains the entire agreement of the parties with respect to the subject matter hereof and supersedes all prior agreements, promises, covenants, arrangements, communications, representations and warranties between them, whether written or oral with respect to the subject matter hereof. No provisions of this Agreement may be modified, waived or discharged unless such modification, waiver or discharge is agreed to in writing signed by Executive and such officer of the Company specifically designated by the Board.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement (including the schedules and exhibits annexed hereto or referred to herein), together with the Cendant Guide, contains the entire agreement between the parties hereto with respect to the transactions contemplated hereby and supersedes all prior agreements, written or oral, with respect thereto. No amendment, modification or alteration of the terms or provisions of this Agreement shall be binding unless the same shall be in writing and duly executed by the authorized representatives of the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement replaces and merges all previous agreements and discussions relating to the same or similar subject matters between the Employee and the Company and constitutes the entire agreement between the Employee and the Company with respect to the subject matter of this Agreement. This Agreement may not be modified in any respect by any verbal statement, representation or agreement made by any employee, officer, or representative of the Company or by any written agreement unless signed by an officer of the Company who is expressly authorized by the Company to execute such document.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement supersedes all other prior oral or written agreements between the Investor, the Company, their affiliates and Persons acting on their behalf with respect to the subject matter hereof, and this Agreement, the other Transaction Documents and the instruments referenced herein contain the entire understanding of the parties with respect to the matters covered herein and therein and, except as specifically set forth herein or therein, neither the Company nor the Investor makes any representation, warranty, covenant or undertaking with respect to such matters. The Company acknowledges and agrees that is has not relied on, in any manner whatsoever, any representations or statements, written or oral, other than as expressly set forth in the Transaction Documents. No provision of this Agreement may be amended other than by a written instrument signed by both parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the other documents delivered pursuant hereto at the Closing constitute the full and entire understanding and agreement between the Parties with regard to the subjects hereof and thereof. Except as expressly provided herein, neither this Agreement nor any term hereof may be amended, waived, discharged or terminated other than by a written instrument signed by the Purchaser and the Seller.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the documents referred to herein and to be delivered pursuant hereto constitute the entire agreement between the parties pertaining to the subject matter hereof, and supersede all prior and contemporaneous agreements, understandings, negotiations and discussions of the parties, whether oral or written, and there are no warranties, representations or other agreements between the parties in connection with the subject matter hereof, except as specifically set forth herein or therein. No amendment, supplement, modification, waiver or termination of this Agreement shall be binding unless executed in writing by the party to be bound thereby. No waiver of any of the provisions of this Agreement shall be deemed or shall constitute a waiver of any other provision of this Agreement, whether or not similar, nor shall such waiver constitute a continuing waiver unless otherwise expressly provided.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement constitutes the entire agreement between the parties hereto with respect to the subject matter hereof, and supersedes all prior agreements between the parties hereto relating to the matters contained herein and may not be modified, waived or terminated orally and may only be amended by an agreement in writing signed by the parties hereto.",entire-agreement-amendment
Entire Agreement; Amendment. This Agreement constitutes the entire agreement of the parties with regard to the subjects hereof and may be amended only by written agreement between the Company and Recipient.,entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, including the Appendices hereto, constitutes the entire agreement among the parties with respect to the subject matter hereof and supersedes all previous agreements, promises, representations, understandings and negotiations, whether written or oral, between the parties with respect to the subject matter hereof. This Agreement, including the Appendices hereto, may not be amended except in writing signed by each of the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement contains the entire agreement of the parties hereto with respect to the terms and conditions of the Executive's employment during the Term and supersedes any and all prior agreements and understandings, whether written or oral, between the parties hereto with respect to compensation due for services rendered hereunder. This Agreement may not be changed or modified except by an instrument in writing signed by both of the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement contains the entire agreement and understanding of the parties with respect to the subject matter hereof and supersedes any and all prior and contemporaneous agreements, memoranda, arrangements and understandings, both written and oral, between the parties, or any of them, with respect to the subject matter hereof. This Agreement may be amended only by an agreement in writing executed by the parties hereto, and no waiver of compliance with any provision or condition of this Agreement and no consent provided for in this Agreement shall be effective unless evidenced by a written instrument executed by the party against whom such waiver or consent is to be effective. No failure or delay by a party in exercising any right, power or privilege hereunder shall operate as a waiver thereof, nor shall any single or partial exercise thereof preclude any other or further exercise thereof or the exercise of any right, power or privilege hereunder.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement contains the entire agreement and understanding of the parties hereto relating to the subject matter hereof, and merges and supersedes all prior and contemporaneous discussions, agreements and understandings of every nature relating to the employment of Employee by the Company. This Agreement may not be changed or modified, except by an agreement in writing signed by each of the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. Except as otherwise set forth in this Agreement, this Agreement contains the entire agreement between the Company and the Employee with respect to the subject matter hereof and thereof. This Agreement may not be amended, waived, changed, modified or discharged except by an instrument in writing executed by or on behalf of the party against whom enforcement of any amendment, waiver, change, modification or discharge is sought. No course of conduct or dealing shall be construed to modify, amend or otherwise affect any of the provisions hereof.",entire-agreement-amendment
"Entire Agreement; Amendment. This Lease Agreement contains the entire agreement of the parties and there are no other promises, conditions, understandings or other agreements, whether oral or written, relating to the subject matter of this Lease. This Lease may be modified or amended in writing, if the writing is signed by the party obligated under the amendment.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the documents incorporated by reference herein, including such documents referenced in Section 2(a)(i) above, replace and merge all previous agreements and discussions relating to the same subject matters between Employee and the Company and constitute the entire agreement between Employee and the Company with respect to the subject matters of this Agreement; provided, however, that the vesting terms of this Agreement shall not modify and shall be subject to the terms and conditions of any employment, consulting and/or severance agreement between the Company and Employee that provides for accelerated vesting of the Restricted Shares upon or after termination of employment. Without limiting the scope of the preceding sentence, except as provided therein, all prior understandings and agreements, if any, among the parties hereto relating to the subject matters hereof are hereby null and void and of no further force and effect. Any modification of this Agreement shall be effective only if it is in writing and signed by both Employee and an authorized officer of the Company.",entire-agreement-amendment
Entire Agreement; Amendment. This Agreement and the related Transaction Documents constitute the entire agreement between the parties with respect to the transactions contemplated hereby and supersede all prior agreements with respect thereto. This Agreement may be amended only in a written instrument signed by both Seller and Purchaser.,entire-agreement-amendment
"Entire Agreement; Amendment. The Agreement contains the entire agreement of the parties and supersedes all prior agreements and understandings between the Parties regarding the subject matter hereof. The Agreement may only be amended by a written agreement of both Parties, except that Personalized Care Practice may amend any provision of the Agreement, including these Terms, other than the term and the amount of Member Amenities Fee, by giving written notice to the Program Member at least fifteen days in advance of any such change or amendment taking effect.",entire-agreement-amendment
Entire Agreement; Amendment. This Agreement constitutes the full and entire understanding and agreement between and among the Parties with regard to the subject matter hereof. Any term of this Agreement may be amended only with the written consent of each Party.,entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the Purchase Agreement constitute the entire agreement between the parties with respect to servicing of the Mortgages during the Interim Period. This Agreement may be amended and any provision hereof waived, but, only in writing signed by the party against whom such enforcement is sought.",entire-agreement-amendment
"Entire Agreement; Amendment. THIS INSTRUMENT, INCLUDING ALL EXHIBITS ATTACHED HERETO, CONTAINS THE ENTIRE AGREEMENT OF THE PARTIES AND SUPERSEDES ANY AND ALL PRIOR OR CONTEMPORANEOUS AGREEMENTS BETWEEN THE PARTIES, WRITTEN OR ORAL, WITH RESPECT TO THE TRANSACTIONS CONTEMPLATED HEREBY.",entire-agreement-amendment
"Entire Agreement; Amendment. This Amendment taken together with the Existing Lease, together with all exhibits, schedules, riders and addenda to each, constitutes the full and complete agreement and understanding between the parties hereto and shall supersede all prior communications, representations, understandings or agreements, if any, whether oral or written, concerning the subject matter contained in this Amendment and the Existing Lease, as so amended, and no provision of the Lease as so amended may be modified, amended, waived or discharged, in whole or in part, except by a written instrument executed by all of the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement constitutes the entire understanding and Agreement between the parties with respect to the subject matter hereof and shall supersede all prior understandings and agreements. This Agreement cannot be amended, modified, or supplemented in any respect, except by a subsequent written agreement entered into by the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. Subject to MLS Policies, this Agreement contains the full and complete understanding of the parties regarding the subject matter of this Agreement and supersedes all prior representations and understandings, whether oral or written, relating to the same. MLS may amend this agreement by providing 30 days’ advance notice of the amendment to all other parties; if any party continues to use the Data Interface or the MLS Data after the expiration of the 30-day notice period, that party will be deemed to have agreed to the terms as amended.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, together with any Schedules and Exhibits and any other writings referred to herein or delivered pursuant hereto, constitutes the entire agreement between the parties hereto with respect to the subject matter hereof and supersedes all prior agreements and understandings, whether written or oral, between the parties with respect to the subject matter hereof. To the fullest extent provided by applicable law, this Agreement may be amended, modified and supplemented by mutual consent of the parties hereto at any time, with respect to any of the terms contained herein, in such manner as may be agreed upon in writing by such parties.",entire-agreement-amendment
"Entire Agreement; Amendment. This Escrow Agreement contains the entire agreement among the parties with respect to the subject matter hereof and supersedes all prior oral or written agreements, commitments or understandings with respect to such matters. This Escrow Agreement may not be changed orally, but only by an instrument in writing signed by the party against whom enforcement of any waiver, change, modification, extension or discharge is sought.",entire-agreement-amendment
Entire Agreement; Amendment. This Agreement contains the entire agreement of the parties with respect to the subject matter hereof and shall not be amended except by the written agreement of the parties.,entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, and the Exhibits and Schedules hereto, and each additional agreement and document to be executed and delivered pursuant hereto, constitute all of the agreements of the parties with respect to, and supersede all prior agreements and understandings relating to the subject matter of, this Agreement or the transactions contemplated by this Agreement. This Agreement may not be modified or amended except by a written instrument specifically referring to this Agreement signed by the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, together with the exhibits referred to herein and the Disclosure Schedule, represents the entire agreement of the parties with respect to the subject matter hereof, and there are no promises, undertakings, representations or warranties by either party relative to subject matter hereof not expressly set forth herein. No provision of this Agreement may be amended other than by a written instrument signed by both parties hereto. The Disclosure Schedule and all exhibits to this Agreement are hereby incorporated by reference in, and made a part of, this Agreement as if set forth in full herein.",entire-agreement-amendment
"Entire Agreement; Amendment. This AGREEMENT and any recitals or exhibits attached hereto constitute the entire agreement among the Parties to it and supersedes any prior or contemporaneous understanding or agreement with respect to the services contemplated, and may be amended only by a written amendment executed by both Parties to the AGREEMENT.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement constitutes the full and entire understanding and agreement between the parties with regard to the subject matter hereof. Neither this Agreement nor any term hereof may be amended, discharged or terminated except by a written instrument signed by the parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement sets forth the entire agreement between the parties hereto with respect to the matters subject to this Agreement. Any provision of this Agreement may be amended or modified in whole or in part at any time by an agreement in writing between the parties hereto executed in the same manner as this Agreement. No failure on the part of any party to exercise, and no delay in exercising, any right shall operate as a waiver thereof nor shall any single or partial exercise by any party of any right preclude any other or future exercise thereof or the exercise of any other right.",entire-agreement-amendment
"Entire Agreement; Amendment. THIS DEED OF TRUST AND THE OTHER LOAN DOCUMENTS EMBODY THE FINAL, ENTIRE AGREEMENT AMONG THE PARTIES HERETO AND SUPERSEDE ANY AND ALL PRIOR COMMITMENTS, AGREEMENTS, REPRESENTATIONS, AND UNDERSTANDINGS, WHETHER WRITTEN OR ORAL, RELATING TO THE SUBJECT MATTER HEREOF AND THEREOF AND MAY NOT BE CONTRADICTED OR VARIED BY EVIDENCE OF PRIOR, CONTEMPORANEOUS, OR SUBSEQUENT ORAL AGREEMENTS OR DISCUSSIONS OF THE PARTIES HERETO. THERE ARE NO ORAL AGREEMENTS AMONG THE PARTIES HERETO. The provisions hereof and the other Loan Documents may be amended or waived only by an instrument in writing signed by Grantor and Beneficiary.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the exhibits attached hereto constitute the entire, final, complete and exclusive agreement between the Parties and supersede all previous agreements or representations, written or oral, with respect to the subject matter of this Agreement (including any prior confidentiality agreement between the Parties). All information of Intrexon or ZIOPHARM to be kept confidential by the other Party under any prior confidentiality agreement, as of the Effective Date, shall be maintained as Confidential Information by such other Party under the obligations set forth in Article 7 of this Agreement. This Agreement may not be modified or amended except in a writing signed by a duly authorized representative of each Party.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and any other documents, instruments or other writings delivered or to be delivered pursuant to this Agreement constitute the entire agreement among the parties with respect to the subject matter of this Agreement and supersede all prior agreements, understandings, and negotiations, whether written or oral, with respect to the subject matter of this Agreement. None of the terms and provisions contained in this Agreement can be changed without a writing signed by all parties hereto.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement sets forth the entire understanding of the parties with respect to the subject matter hereof and supersedes all prior agreements, written and oral, between the parties. No modification of any of the terms of this Agreement shall be deemed to be valid unless it is in writing and signed by both parties. No course of dealing or usage of trade shall be used to modify the terms and conditions in this Agreement.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement (and its exhibits, schedules and all other documents referenced and incorporated herein) supersedes all previous contracts, and constitutes the entire agreement of every kind or nature existing between or among the parties representing the within subject matter and no party shall be entitled to benefits other than those specified herein. This Agreement may be executed in two or more counterparts, each of which shall be deemed an original and all of which together shall constitute but one and the same instrument. No terms, conditions, warranties, or representations, other than those contained herein and no amendments or modifications hereto shall be binding unless made in writing and signed by the party to be charged.",entire-agreement-amendment
"Entire Agreement; Amendment. The Agreement constitutes the entire agreement of the Parties with respect of the subject matter hereof. No provision of the Agreement may be amended, waived, or discharged except by the mutual written agreement of the Parties. The consent of any other person(s) to any such amendment, waiver or discharge shall not be required.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, along with all agreements referred to herein, constitute the entire agreement between the parties with respect to the subject matter hereof and supersedes any and all prior agreements, either oral or written, between the parties with respect thereto. Any modification to this Agreement must be made in writing and signed by all of the parties.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement and the other documents delivered pursuant hereto constitute the full and entire understanding and agreement among the parties with regard to the subjects hereof and thereof. Neither this Agreement nor any term hereof may be amended, waived, discharged or terminated other than by a written instrument signed by the party against whom enforcement of any such amendment, waiver, discharge or termination is sought; provided, however, that holders of fifty-one percent (51%) of the outstanding Shares (whether or not converted) may waive or amend, on behalf of the Investor and other holders of Shares, any provisions hereof benefitting the Investor so long as the effect thereof will be that the Investor and other holders of Shares will be treated equally.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement constitutes the full and entire understanding and agreement between the parties with regard to the subject hereof. This Agreement, or any provision hereof, may be amended, waived, discharged or terminated upon the written consent of the Company and the Purchaser.",entire-agreement-amendment
"Entire Agreement; Amendment. This Agreement, including any Exhibits and attachments referred to herein or attached hereto, each of which is incorporated herein for all purposes, constitutes the entire agreement between the Parties with respect to the subject matter hereof. There are no agreements, representations, warranties, promises, covenants, commitments or undertakings other than those expressly set forth herein. This Agreement supersedes all prior agreements, representations, warranties, promises, covenants, commitments or undertaking, whether written or oral, with respect to the subject matter contained in this Agreement. No amendment, modification, change, waiver, or discharge hereof shall be valid unless in writing and signed by an authorized representative of the Party against which such amendment, modification, change, waiver or discharge is sought to be enforced.",entire-agreement-amendment
"Entire Agreement; Amendment. (a) This Agreement contains the entire understanding of and all agreements between the parties hereto with respect to the subject matter hereof and supersedes any prior or contemporaneous agreement or understanding, oral or written, pertaining to any such matters, which agreements or understandings shall be of no force or effect for any purpose; provided, however, that the terms of any confidentiality agreement the parties hereto previously entered into shall, to the extent not inconsistent with any provisions of this Agreement, continue to apply until the Closing.",entire-agreement-amendment
