clause_text,clause_type
"Event of Default. Any of the following shall constitute an ""Event of Default"":",event-of-default
Event of Default. (a) Each of the following events shall constitute an event of default hereunder (an “Event of Default”):,event-of-default
"Event of Default. The words ""Event of Default"" mean any of the events of default set forth in this Agreement in the default section of this Agreement.",event-of-default
"Event of Default a statement that such officer has reviewed the relevant terms hereof and has made, or caused to be made, under his or her supervision, a review of the transactions and conditions of the Company and its Subsidiaries from the beginning of the quarterly or annual period covered by the statements then being furnished to the date of the certificate and that such review shall not have disclosed the existence during such period of any condition or event that constitutes a Default or an Event of Default or, if any such condition or event existed or exists (including, without limitation, any such event or condition resulting from the failure of the Company or any Subsidiary to comply with any Environmental Law), specifying the nature and period of existence thereof and what action the Company shall have taken or proposes to take with respect thereto.",event-of-default
"Event of Default. Any event set forth in Section 8.01. Fannie Mae: Fannie Mae, or any successor thereto.",event-of-default
"Event of Default. The words ""Event of Default"" mean and include without limitation any of the Events of Default set forth below in the section titled ""EVENTS OF DEFAULT.""",event-of-default
Event of Default. Any one of the conditions or circumstances enumerated in Section 6.14(a).,event-of-default
Event of Default. Any one of the conditions or circumstances enumerated in Section 10.01.,event-of-default
Event of Default. The occurrence of any one or more of the following events shall constitute an “Event of Default”:,event-of-default
Event of Default shall refer to any of the circumstances set forth in Section 7 of this Agreement.,event-of-default
Event of Default. Any of the events specified in Section 7.01.,event-of-default
Event of Default. “Event of Default” shall mean the occurrence or existence of any one or more of the following:,event-of-default
"Event of Default. The term """,event-of-default
Event of Default. The term “,event-of-default
Event of Default. Each of the following events shall constitute an “Event of Default”:,event-of-default
"Event of Default. As defined in Section 7.04 hereof. Event of Default Under the Trust Indenture: With respect to any MBS, any “Event of Default” under Section 9.03 (or any similar provision) of the Trust Indenture pursuant to which such MBS was issued. Fannie Mae: Federal National Mortgage Association, a body corporate organized and existing under the laws of the United States, or its successor in interest or any successor appointed as herein provided. Unless the context requires otherwise, the term “Fannie Mae” shall be deemed to refer to the Federal National Mortgage Association acting in its corporate capacity and not in its capacity as Trustee hereunder.",event-of-default
Event of Default. See §12.1.,event-of-default
Event of Default. An event described in Section 5.1 of the Indenture.,event-of-default
Event of Default. Any one of the conditions or circumstances enumerated in Section 6.14(a). FDIC: The Federal Deposit Insurance Corporation or any successor thereto.,event-of-default
"Event of Default. “Event of Default”, wherever used herein, means, with respect to Notes issued hereunder, any one of the following events (whatever the reason for such Event of Default and whether it shall be voluntary or involuntary or be effected by operation of law or pursuant to any judgment, decree or order of any court or any order, rule or regulation of any administrative or governmental body):",event-of-default
"Event of Default. An event of default (""Event of Default"") shall be deemed to have occurred hereunder upon the occurrence of any event of default as defined and described in this Agreement, in the Notes, Subscription Agreement, and any other agreement to which Debtor and a Lender are parties. Upon and after any Event of Default, after the applicable cure period, if any, any or all of the Obligations shall become immediately due and payable at the option of the Collateral Agent, for the benefit of the Lenders, and the Collateral Agent may dispose of Collateral as provided below. A default by Debtor of any of its material obligations pursuant to this Agreement shall be an Event of Default hereunder and an event of default as defined in the Notes, and Subscription Agreement.",event-of-default
"Event of Default. The occurrence of any of the following events of default (""Event of Default"") shall, at the option of the Holder hereof, make all sums of principal and interest then remaining unpaid hereon and all other amounts payable hereunder immediately due and payable, upon demand, without presentment, or grace period, all of which hereby are expressly waived, except as set forth below:",event-of-default
Event of Default. .4 Global Security. . . . . . . . . . . . . . . . . . . .5 Governmental Obligations . . . . . . . . . . . . . . .5 Governmental Authority . . . . . . . . . . . . . . . .5 Indenture. . . . . . . . . . . . . . . . . . . . . . .5 Instructions . . . . . . . . . . . . . . . . . . . . .6 Interest . . . . . . . . . . . . . . . . . . . . . . .6,event-of-default
"Event of Default. During the continuance of an Event of Default, the Administrative Agent shall have the right, at any time in its discretion and without notice to the Grantor, to (i) transfer to or to register in its name or in the name of its nominees any Pledged Collateral or any Pledged Investment Property and (ii) exchange any certificate or instrument representing or evidencing any Pledged Collateral or any Pledged Investment Property for certificates or instruments of smaller or larger denominations.",event-of-default
Event of Default. As defined in Section 5.04.,event-of-default
Event of Default. As defined in Section 8.01 hereof.,event-of-default
Event of Default. Any of the events which may result in a termination for cause set forth in Section 8.01.,event-of-default
