clause_text,clause_type
Events of Default. Any of the following shall constitute an Event of Default:,events-of-default
Events of Default. If any of the following events (“Events of Default”) shall occur:,events-of-default
Events of Default. If any of the following events shall occur and be continuing:,events-of-default
Events of Default. The occurrence of any one or more of the following events shall constitute an “Event of Default”:,events-of-default
"Events of Default. Event of Default, wherever used herein, means any one of the following events (whatever reason for such Event of Default and whether it shall be voluntary or involuntary or be effected by operation of law or pursuant to any judgment, decree or order of any court or any order, rule or regulation of any administrative or governmental body):",events-of-default
Events of Default. Each of the following is an “Event of Default”:,events-of-default
Events of Default. Each of the following shall constitute an Event of Default under this Agreement:,events-of-default
Events of Default. The occurrence of any of the following events shall constitute an Event of Default hereunder:,events-of-default
"Events of Default. The occurrence at any time with respect to a party or, if applicable, any Credit Support Provider of such party or any Specified Entity of such party of any of the following events constitutes an event of default (an “Event of Default”) with respect to such party:—",events-of-default
"Events of Default. If any of the following events (""Events of Default"") shall occur and be continuing:",events-of-default
Events of Default. If the Early Termination Date results from an Event of Default:—,events-of-default
"Events of Default. Each of the following shall constitute an Event of Default, whatever the reason for such event and whether it shall be voluntary or involuntary or be effected by operation of law or pursuant to any judgment or order of any court or any order, rule or regulation of any Governmental Authority or otherwise:",events-of-default
Events of Default. Upon the occurrence of any of the following specified events (each an “Event of Default”):,events-of-default
Events of Default. Any one of the following shall constitute an event of default (an “Event of Default”) under this Agreement:,events-of-default
"Events of Default. If an Event of Default with respect to Securities of this series shall occur and be continuing, the principal of the Securities of this series may be declared due and payable in the manner and with the effect provided in the Indenture.",events-of-default
"Events of Default. If any of the following events (each, an “Event of Default”) shall occur:",events-of-default
"Events of Default. Event of Default,"" wherever used herein, means any one of the following events (whatever the reason for such Event of Default and whether it shall be voluntary or involuntary or be effected by operation of law or pursuant to any judgment, decree or order of any court or any order, rule or regulation of any administrative or governmental body) and only with respect to the defaulting Master Servicer:",events-of-default
"Events of Default. If one or more of the following events (""Events of Default"") shall have occurred and be continuing:",events-of-default
"Events of Default. Any one or more of the following events shall constitute an event of default (each, an “Event of Default”) under this Agreement:",events-of-default
Events of Default. Any one or more of the following events shall constitute an Event of Default by Borrower under this Agreement:,events-of-default
"Events of Default. In case one or more of the following Events of Default by the Master Servicer shall occur and be continuing, that is to say:",events-of-default
Events of Default. An Event of Default shall exist upon the occurrence of any of the following specified events (each an “Event of Default”):,events-of-default
Events of Default. In case of the happening of any of the following events (“Events of Default”):,events-of-default
Events of Default. Each of the following events shall be an Event of Default:,events-of-default
Events of Default. The occurrence of any of the following shall constitute an “Event of Default” under this Note:,events-of-default
Events of Default. An “Event of Default” occurs if:,events-of-default
Events of Default. Any one or more of the following shall constitute an “Event of Default” hereunder:,events-of-default
Events of Default. The occurrence of any one or more of the following shall constitute an Event of Default under this Instrument:,events-of-default
Events of Default. Each of the following shall constitute an Event of Default:,events-of-default
Events of Default. (a) An “,events-of-default
"Events of Default. The occurrence of any one or more of the following events (regardless of the reason therefor) shall constitute an ""Event of Default"" hereunder:",events-of-default
Events of Default. If any one or more of the following conditions or events shall occur:,events-of-default
"Events of Default. (a) Whenever used herein with respect to Securities of a particular series, “",events-of-default
Events of Default. Each of the following shall constitute an “Event of Default” hereunder:,events-of-default
"Events of Default. An ""Event of Default"" occurs if:",events-of-default
Events of Default. One or more of the following events shall constitute an “Event of Default”:,events-of-default
"Events of Default. In case of the happening of any of the following events (each, an “Event of Default”):",events-of-default
"Events of Default. Event of Default"", wherever used herein, means any one of the following events:",events-of-default
Events of Default. Each of the following shall constitute an Event of Default on the part of the Company:,events-of-default
Events of Default. Each of the following events shall be an “Event of Default” with respect to the Notes:,events-of-default
Events of Default. (a) Each of the following is an “Event of Default”:,events-of-default
"Events of Default. Each of the following shall constitute an Event of Default, whatever the reason for such event and whether it shall be voluntary or involuntary or be effected by operation of Applicable Law or pursuant to any judgment or order of any Governmental Authority:",events-of-default
