clause_text,clause_type
"Expenses. The Issuer shall pay all fees and expenses (a) in connection with the preparation, setting in type and filing of any registration statement, Prospectus and Statement of Additional Information under the 1933 Act and amendments for the issue of its shares, (b) in connection with the registration and qualification of shares for sale in the various states in which the Board of Trustees of the Issuer shall determine it advisable to qualify such shares for sale (including registering the Issuer as a broker or dealer or any officer of the Issuer as agent or salesman in any state), (c) of preparing, setting in type, printing and mailing any report or other communication to shareholders of the Issuer in their capacity as such, and (d) of preparing, setting in type, printing and mailing Prospectuses, Statements of Additional Information and any supplements thereto sent to existing shareholders. As provided in the Distribution and Service Plan adopted by the Issuer, it is recognized by the Issuer that FMR or its affiliates may make payment to Distributors with respect to any expenses incurred in the distribution of shares of the Issuer, such payments payable from the past profits or other resources of FMR or its affiliates including management fees paid to it by the Issuer.",expenses
Expenses. All costs and expenses incurred in connection with the transactions contemplated by this Agreement shall be paid by the party incurring such costs and expenses.,expenses
"Expenses. It is understood that the Portfolio will pay all of its expenses other than those expressly stated to be payable by the Sub-Advisor hereunder or by the Advisor under the Management Contract with the Portfolio, which expenses payable by the Portfolio shall include, without limitation, (i) interest and taxes; (ii) brokerage commissions and other costs in connection with the purchase or sale of securities and other investment instruments; (iii) fees and expenses of the Trust's Trustees other than those who are ""interested persons"" of the Trust, the Sub-Advisor or the Advisor; (iv) legal and audit expenses; (v) custodian, registrar and transfer agent fees and expenses; (vi) fees and expenses related to the registration and qualification of the Trust and the Portfolio's shares for distribution under state and federal securities laws; (vii) expenses of printing and mailing reports and notices and proxy material to shareholders of the Portfolio; (viii) all other expenses incidental to holding meetings of the Portfolio's shareholders, including proxy solicitations therefor; (ix) a pro rata share, based on relative net assets of the Portfolio and other registered investment companies having Advisory and Service or Management Contracts with the Advisor, of 50% of insurance premiums for fidelity and other coverage; (x) its proportionate share of association membership dues; (xi) expenses of typesetting for printing Prospectuses and Statements of Additional Information and supplements thereto; (xii) expenses of printing and mailing Prospectuses and Statements of Additional Information and supplements thereto sent to existing shareholders; and (xiii) such non-recurring or extraordinary expenses as may arise, including those relating to actions, suits or proceedings to which the Portfolio is a party and the legal obligation which the Portfolio may have to indemnify the Trust's Trustees and officers with respect thereto.",expenses
Expenses. It is understood that the Portfolio will pay all of its expenses other than those expressly stated to be payable by the Sub-Advisor hereunder or by the Advisor under the Management Contract with the Portfolio.,expenses
"Expenses. During the Employment Period, the Executive shall be entitled to receive prompt reimbursement for all reasonable expenses incurred by the Executive in accordance with the most favorable policies, practices and procedures of the Company and its affiliated companies in effect for the Executive at any time during the 120-day period immediately preceding the Effective Date or, if more favorable to the Executive, as in effect generally at any time thereafter with respect to other peer executives of the Company and its affiliated companies.",expenses
"Expenses. A Defaulting Party will, on demand, indemnify and hold harmless the other party for and against all reasonable out-of-pocket expenses, including legal fees and Stamp Tax, incurred by such other party by reason of the enforcement and protection of its rights under this Agreement or any Credit Support Document to which the Defaulting Party is a party or by reason of the early termination of any Transaction, including, but not limited to, costs of collection.",expenses
"Expenses. If any action at law or in equity is necessary to enforce or interpret the terms of this Agreement, the prevailing party shall be entitled to reasonable attorneys’ fees, costs and necessary disbursements in addition to any other relief to which such party may be entitled.",expenses
"Expenses. In the event that this Agreement shall not be carried out for any reason whatsoever, within the time specified herein or any extensions thereof pursuant to the terms herein, (i) the obligations of the Company to pay the out of pocket expenses related to the transactions contemplated herein shall be governed by Section 3.10 hereof and (ii) the Company shall reimburse the Representative for any costs and expenses incurred in connection with enforcing any provisions of this Agreement.",expenses
Expenses. All costs and expenses incurred in connection with this Agreement shall be paid by the party incurring such cost or expense.,expenses
"Expenses. The Adviser will bear all expenses in connection with the performance of its services under this Agreement, including the fees payable to any investment sub-adviser engaged pursuant to paragraph 2 of this Agreement. The Fund will bear its proportionate share of certain other expenses to be incurred in its operation, including: investment advisory and administration fees; taxes, interest, brokerage fees and commissions, if any; fees of Directors of the Fund who are not officers, directors, or employees of the Adviser, any sub-adviser or any of their affiliates; fees of any pricing service employed to value shares of the Fund; Securities and Exchange Commission fees and state blue sky qualification fees; charges of custodians and transfer and dividend disbursing agents; the Fund's proportionate share of insurance premiums; outside auditing and legal expenses; costs of maintenance of the Fund's existence; costs attributable to investor services, including, without limitation, telephone and personnel expenses; costs of preparing and printing prospectuses and statements of additional information for regulatory purposes and for distribution to existing shareholders; costs of shareholders' reports and meetings of the shareholders of the Fund and of the officers or Board of Directors of the Fund; and any extraordinary expenses. The Fund will be responsible for nonrecurring expenses which may arise, including costs of litigation to which the Fund is a party and of indemnifying officers and Directors of the Fund with respect to such litigation and other expenses as determined by the Directors.",expenses
